depth_mm,evaluated_voxels,voxel_difference_noise_RMS_pp,observed_voxel_difference_RMS_percent,central_peak_TOPAS_SE_percent,central_peak_GPU_SE_percent,central_peak_ratio_SE_pp,central_peak_CI95_half_width_pp,adjacent_valleys_TOPAS_SE_percent,adjacent_valleys_GPU_SE_percent,adjacent_valleys_ratio_SE_pp,adjacent_valleys_CI95_half_width_pp,inner_field_peaks_TOPAS_SE_percent,inner_field_peaks_GPU_SE_percent,inner_field_peaks_ratio_SE_pp,inner_field_peaks_CI95_half_width_pp,inner_field_valleys_TOPAS_SE_percent,inner_field_valleys_GPU_SE_percent,inner_field_valleys_ratio_SE_pp,inner_field_valleys_CI95_half_width_pp
0.125,386,4.831152778363581,5.553632204277881,0.19038517190448656,0.2248924679582557,0.3099140760501562,0.7633682332447415,0.5000676596840087,1.020181262773741,1.1104785441095752,2.9846170019177087,0.10433555260296579,0.19808620518805686,0.23484494966233932,0.6222977057632876,0.5763297129065463,0.6367371158494923,0.8260114570034094,2.026022808489019
0.375,386,4.952797477844981,5.139854609054194,0.24844775085163381,0.12741953696602631,0.287118046084213,0.7648187914553892,0.6664854181631831,1.412476513318082,1.534694491647689,4.155822649701826,0.09704528237648762,0.23845350506212826,0.2638848121875807,0.7350531253804932,0.3888220166175123,0.8000550917024075,0.8745742518328645,2.354556261096406
0.625,385,4.8904731835181785,5.202363862428184,0.20951244425199664,0.23240280410501052,0.3192374330008059,0.7831716108945397,1.1920684483784516,1.7560938326369395,2.108644089334135,5.334962383024965,0.11166906000510289,0.21738788760126476,0.2486489943816842,0.6621361624842186,0.43467548026651304,0.8932612797543729,0.9811853104528176,2.6409114726299086
0.875,386,4.927048505110246,5.137473040481969,0.2734339478549176,0.28277938394786717,0.3992561423951995,0.9772119114442286,0.6952738805605281,1.7298737470177177,1.8673713201549562,5.21349946943217,0.09567144536338922,0.215432031660723,0.23885540334494948,0.6544772361095623,0.21877765133069377,0.9871705019174528,1.0027732315966753,3.036041242763445
1.125,386,4.938009398641273,5.078726684144393,0.3404015225967968,0.3100850647921303,0.46639645131466695,1.1436284123307754,1.072677242332646,1.9892850706527676,2.258169230017955,5.956271256249504,0.11993617183231874,0.19726080592826198,0.23364446418188645,0.6023807473286436,0.47892704321299084,1.0494114474878524,1.1432555013422816,3.116082750658713
1.375,386,5.021251975580861,5.2202703189625295,0.32534817114857056,0.2879080671779609,0.43939992562528635,1.0790415524343466,0.9662759888678386,1.6548829101838494,1.900024863970166,4.935503712432302,0.09697246271989608,0.17997913250160316,0.2067404057113426,0.5453947482734902,0.5453862509891014,1.0417705665306465,1.167537301458545,3.097478403619816
1.625,386,5.048499171322172,4.91653148107443,0.28949905382328767,0.2634822025611982,0.3963908968588732,0.9720099194279987,0.6899919110930062,1.3859684449165661,1.5314343010119211,4.103421524217438,0.0739505081880064,0.20402534063218258,0.21949118200271434,0.6240092550406348,0.485380388264946,1.1751240150316065,1.2619840446492268,3.5056669348407024
1.875,385,4.920042342129161,5.034581932636622,0.2520347221750042,0.26706726959822785,0.3718195281252635,0.9105486697349489,0.7332391233145128,1.0574251466758895,1.269464727745628,3.2012102210721367,0.06224402745413319,0.21848747372876665,0.22982276741336646,0.6771668984064453,0.4530208830420577,1.2534213398460252,1.315855458216675,3.742738989665279
2.125,386,4.884357744045561,5.076913257212377,0.3036784346434877,0.3309315024189466,0.45480259880677804,1.1148475709457863,0.535349309153931,0.6668202941843027,0.8499702540204601,2.103582520737899,0.08014781506152971,0.2570863476661272,0.272305279671889,0.792571164872285,0.16771942216478414,1.073870201257733,1.0798475582390787,3.3479184336744434
2.375,385,4.894605374256389,4.998451174470194,0.38633744259420516,0.2480903042744873,0.4642630473077631,1.1854261765535352,0.9521722475508692,0.9078831535905847,1.3061982682753277,3.19790783152508,0.09526700809702414,0.25538543494669214,0.2756790801874005,0.7799239297345406,0.30236453288491105,1.0409865548675978,1.0752896162136958,3.1603448707114428
