event_id,context,E_total_MeV,range_mm,dedx_MeV_mm,inverse_MeV,true_step_mm
0,0,0.10000000000000001,0.00082026316350206508,243.79442998945282,0.099999910152778079,0.00082026316350206508
1,1,0.10000000000000001,0.00082026316350206508,243.79442998945282,0.099999910152778079,0.00082026316350206508
2,2,0.10000000000000001,0.00046471197692238552,430.49300097215081,0.099999981994237139,0.00046471197692238552
3,0,0.10430044010977449,0.00083771585950008791,248.98865074831798,0.10430037148119743,0.00083771585950008791
4,1,0.10430044010977449,0.00083771585950008791,248.98865074831798,0.10430037148119743,0.00083771585950008791
5,2,0.10430044010977449,0.0004745958859518946,439.65386240958998,0.10430041807725894,0.0004745958859518946
6,0,0.10878581807092653,0.00085553201073147863,254.37371864909969,0.10878599839336778,0.00085553201073147863
7,1,0.10878581807092653,0.00085553201073147863,254.37371864909969,0.10878599839336778,0.00085553201073147863
8,2,0.10878581807092653,0.00048468694874599281,449.14165377756962,0.10878591017082369,0.00048468694874599281
9,0,0.11346408702499496,0.00087372269125002733,259.87905724373462,0.11346436464359273,0.00087372269125002733
10,1,0.11346408702499496,0.00087372269125002733,259.87905724373462,0.11346436464359273,0.00087372269125002733
11,2,0.11346408702499496,0.00049499015577378987,458.8759507867976,0.11346421061537222,0.00049499015577378987
12,0,0.11834354213360726,0.00089230851443519114,265.29793029469965,0.11834355662802981,0.00089230851443519114
13,1,0.11834354213360726,0.00089230851443519114,265.29793029469965,0.11834355662802981,0.00089230851443519114
14,2,0.11834354213360726,0.00050551359342912211,468.58679503118077,0.11834352928016324,0.00050551359342912211
15,0,0.12343283528684874,0.00091131552137525135,270.41284486794603,0.12343303341773382,0.00091131552137525135
16,1,0.12343283528684874,0.00091131552137525135,270.41284486794603,0.12343303341773382,0.00091131552137525135
17,2,0.12343283528684874,0.00051626815833647052,477.97556418054234,0.12343314238694893,0.00051626815833647052
18,0,0.12874099044415627,0.00093076895243125312,275.27380611709356,0.12874128605504201,0.00093076895243125312
19,1,0.12874099044415627,0.00093076895243125312,275.27380611709356,0.12874128605504201,0.00093076895243125312
20,2,0.12874099044415627,0.00052726839660160096,486.9971522487175,0.1287413618264614,0.00052726839660160096
21,0,0.13427741963493769,0.00095069764193940606,280.08663123848407,0.13427738444520804,0.00095069764193940606
22,1,0.13427741963493769,0.00095069764193940606,280.08663123848407,0.13427738444520804,0.00095069764193940606
23,2,0.13427741963493769,0.00053853321367364237,495.74247378514235,0.1342773851728167,0.00053853321367364237
24,0,0.14005193964728874,0.00097112980172764667,285.03793870898676,0.14005178432689369,0.00097112980172764667
25,1,0.14005193964728874,0.00097112980172764667,285.03793870898676,0.14005178432689369,0.00097112980172764667
26,2,0.14005193964728874,0.0005500817171864076,504.33576130983158,0.14005187948159309,0.0005500817171864076
27,0,0.14607478943439786,0.00099207539623223976,290.11777861184464,0.14607468767467344,0.00099207539623223976
28,1,0.14607478943439786,0.00099207539623223976,290.11777861184464,0.14607468767467344,0.00099207539623223976
29,2,0.14607478943439786,0.00055903478762682002,515.58303323064331,0.14607479549273633,0.00055903478762682002
30,0,0.15235664826950335,0.0010135416539466128,295.26681058662246,0.15235675612356114,0.0010133788202319784
31,1,0.15235664826950335,0.0010135416539466128,295.26681058662246,0.15235675612356114,0.0010133788202319784
32,2,0.15235664826950335,0.0005670198446913133,528.21683322999377,0.15235665711193136,0.0005670198446913133
33,0,0.1589086546815931,0.0010355396129389761,300.44775940647008,0.1589089363120503,0.0010344418686664603
34,1,0.1589086546815931,0.0010355396129389761,300.44775940647008,0.1589089363120503,0.0010344418686664603
35,2,0.1589086546815931,0.00057498625723286553,541.49778403452228,0.15890867241887113,0.00057498625723286553
36,0,0.16574242620542334,0.0010500703771604231,308.00348577691148,0.16574250908581781,0.0010479216274659599
37,1,0.16574242620542334,0.0010500703771604231,308.00348577691148,0.16574250908581781,0.0010479216274659599
38,2,0.16574242620542334,0.00058291887344949034,555.38820951890534,0.16574240414592817,0.00058291887344949034
39,0,0.17287007998087472,0.0010640810845975698,315.95383872192912,0.17287007163939508,0.0010606079029797627
40,1,0.17287007998087472,0.0010640810845975698,315.95383872192912,0.17287007163939508,0.0010606079029797627
41,2,0.17287007998087472,0.00059080237123712305,569.81770216393033,0.17287022359354326,0.00059080237123712305
42,0,0.18030425423817148,0.0010779647408619536,324.1976287771609,0.18030429869034237,0.0010728897597159749
43,1,0.18030425423817148,0.0010779647408619536,324.1976287771609,0.18030429869034237,0.0010728897597159749
44,2,0.18030425423817148,0.00059862332177393785,584.74122366975473,0.18030447695954874,0.00059862332177393785
45,0,0.18805813070705957,0.001091694206745321,332.74362104713248,0.18805812723553242,0.0010847627375217663
46,1,0.18805813070705957,0.001091694206745321,332.74362104713248,0.18805812723553242,0.0010847627375217663
47,2,0.18805813070705957,0.00060637037260196942,600.13455447655508,0.18805814080622421,0.00060637037260196942
48,0,0.19614545798967806,0.0011052428915810594,341.60129145182071,0.19614560624793156,0.0010962236437022078
49,1,0.19614545798967806,0.0011052428915810594,341.60129145182071,0.19614560624793156,0.0010962236437022078
50,2,0.19614545798967806,0.00061403282065124274,615.97855619002053,0.19614554842762172,0.00061403282065124274
