g4_version,physics_list,msc_process,urban_model,loss_process,particle,Z,A,charge_e,mass_MeV,context,couple_index,region,cut_mm,material,composition_mass_fraction,density_g_cm3,mean_excitation_eV,first_step_material,first_step_couple_index,E_total_MeV,R_msc_mm,R_loss_mm,DEDX_msc_MeV_mm,DEDX_loss_MeV_mm,E_from_Rmsc_MeV,E_from_Rloss_MeV,range_rel_error,dedx_rel_error,inverse_rel_error,ionisation_bound,tables_built
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,water_cut_0p10mm,1,water_default_region,0.10000000000000001,Water_75eV,Hw75:0.11189834;Ow75:0.88810166,1,75,Water_75eV,1,12,0.28223707350568633,0.28223707350568633,26.580533313070728,26.580533313070728,12.000001392696189,12.000001392696189,0,0,1.1605800232086351e-07,true,true
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,water_cut_0p05mm,2,water_alt_region,0.050000000000000003,Water_75eV,Hw75:0.11189834;Ow75:0.88810166,1,75,Water_75eV,2,12,0.28223707350568633,0.28223707350568633,26.580533313070728,26.580533313070728,12.000001392696189,12.000001392696189,0,0,1.1605800232086351e-07,true,true
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,copper_cut_0p05mm,3,copper_region,0.050000000000000003,G4_Cu,Cu:1,8.9599999999999991,322,G4_Cu,3,12,0.086003079570719773,0.086003079570719773,105.56331776887107,105.56331776887107,12.000000874309762,12.000000874309762,0,0,7.2859141555417211e-08,true,true
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,water_cut_0p10mm,1,water_default_region,0.10000000000000001,Water_75eV,Hw75:0.11189834;Ow75:0.88810166,1,75,Water_75eV,1,2.3999999999999999,0.03070480668586157,0.03070480668586157,75.34957083705396,75.34957083705396,2.4000002979649127,2.4000002979649127,0,0,1.2415203156262688e-07,true,true
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,water_cut_0p05mm,2,water_alt_region,0.050000000000000003,Water_75eV,Hw75:0.11189834;Ow75:0.88810166,1,75,Water_75eV,2,2.3999999999999999,0.03070480668586157,0.03070480668586157,75.34957083705396,75.34957083705396,2.4000002979649127,2.4000002979649127,0,0,1.2415203156262688e-07,true,true
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,copper_cut_0p05mm,3,copper_region,0.050000000000000003,G4_Cu,Cu:1,8.9599999999999991,322,G4_Cu,3,2.3999999999999999,0.015484151553614401,0.015484151553614401,183.62728886682839,183.62728886682839,2.3999999622568211,2.3999999622568211,0,0,1.5726324501900517e-08,true,true
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,water_cut_0p10mm,1,water_default_region,0.10000000000000001,Water_75eV,Hw75:0.11189834;Ow75:0.88810166,1,75,Water_75eV,1,0.59999999999999998,0.010496331333055713,0.010496331333055713,94.629037059629297,94.629037059629297,0.59999999939796267,0.59999999939796267,0,0,1.0033955148240163e-09,true,true
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,water_cut_0p05mm,2,water_alt_region,0.050000000000000003,Water_75eV,Hw75:0.11189834;Ow75:0.88810166,1,75,Water_75eV,2,0.59999999999999998,0.010496331333055713,0.010496331333055713,94.629037059629297,94.629037059629297,0.59999999939796267,0.59999999939796267,0,0,1.0033955148240163e-09,true,true
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,copper_cut_0p05mm,3,copper_region,0.050000000000000003,G4_Cu,Cu:1,8.9599999999999991,322,G4_Cu,3,0.59999999999999998,0.0057627904817398896,0.0057627904817398896,172.72817694938846,172.72817694938846,0.59999997549831297,0.59999997549831297,0,0,4.0836145021039272e-08,true,true
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,water_cut_0p10mm,1,water_default_region,0.10000000000000001,Water_75eV,Hw75:0.11189834;Ow75:0.88810166,1,75,Water_75eV,1,0.12,0.0043998553605292022,0.0043998553605292022,54.531624744609204,54.531624744609204,0.12000001052355325,0.12000001052355325,0,0,8.769626940136863e-08,true,true
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,water_cut_0p05mm,2,water_alt_region,0.050000000000000003,Water_75eV,Hw75:0.11189834;Ow75:0.88810166,1,75,Water_75eV,2,0.12,0.0043998553605292022,0.0043998553605292022,54.531624744609204,54.531624744609204,0.12000001052355325,0.12000001052355325,0,0,8.769626940136863e-08,true,true
$Name: geant4-11-03-patch-02 [MT]$,G4EmStandardPhysics_option4,msc,UrbanMsc,ionIoni,C12,6,12,6,11174.863387984389,copper_cut_0p05mm,3,copper_region,0.050000000000000003,G4_Cu,Cu:1,8.9599999999999991,322,G4_Cu,3,0.12,0.0024188154841119918,0.0024188154841119918,99.275403852051895,99.275403852051895,0.12000004156585416,0.12000004156585416,0,0,3.463819980309193e-07,true,true
