energy_MeV,sigma_x_mm,sigma_xp_rad,corr_x,sigma_y_mm,sigma_yp_rad,corr_y,energy_spread_percent
1800.0,3.6443,0.0056,0.6914,3.6443,0.0056,0.6914,1.0
2400.0,3.2826,0.0049,0.6776,3.2826,0.0049,0.6776,1.0
