spot_id,x,y,energy,weight
0,-15,-15,3000.0,100000
1,-13,-15,3000.0,100000
2,-11,-15,3000.0,100000
3,-9,-15,3000.0,100000
4,-7,-15,3000.0,100000
5,-5,-15,3000.0,100000
6,-3,-15,3000.0,100000
7,-1,-15,3000.0,100000
8,1,-15,3000.0,100000
9,3,-15,3000.0,100000
10,5,-15,3000.0,100000
11,7,-15,3000.0,100000
12,9,-15,3000.0,100000
13,11,-15,3000.0,100000
14,13,-15,3000.0,100000
15,15,-15,3000.0,100000
16,-15,-13,3000.0,100000
17,-13,-13,3000.0,100000
18,-11,-13,3000.0,100000
19,-9,-13,3000.0,100000
20,-7,-13,3000.0,100000
21,-5,-13,3000.0,100000
22,-3,-13,3000.0,100000
23,-1,-13,3000.0,100000
24,1,-13,3000.0,100000
25,3,-13,3000.0,100000
26,5,-13,3000.0,100000
27,7,-13,3000.0,100000
28,9,-13,3000.0,100000
29,11,-13,3000.0,100000
30,13,-13,3000.0,100000
31,15,-13,3000.0,100000
32,-15,-11,3000.0,100000
33,-13,-11,3000.0,100000
34,-11,-11,3000.0,100000
35,-9,-11,3000.0,100000
36,-7,-11,3000.0,100000
37,-5,-11,3000.0,100000
38,-3,-11,3000.0,100000
39,-1,-11,3000.0,100000
40,1,-11,3000.0,100000
41,3,-11,3000.0,100000
42,5,-11,3000.0,100000
43,7,-11,3000.0,100000
44,9,-11,3000.0,100000
45,11,-11,3000.0,100000
46,13,-11,3000.0,100000
47,15,-11,3000.0,100000
48,-15,-9,3000.0,100000
49,-13,-9,3000.0,100000
50,-11,-9,3000.0,100000
51,-9,-9,3000.0,100000
52,-7,-9,3000.0,100000
53,-5,-9,3000.0,100000
54,-3,-9,3000.0,100000
55,-1,-9,3000.0,100000
56,1,-9,3000.0,100000
57,3,-9,3000.0,100000
58,5,-9,3000.0,100000
59,7,-9,3000.0,100000
60,9,-9,3000.0,100000
61,11,-9,3000.0,100000
62,13,-9,3000.0,100000
63,15,-9,3000.0,100000
64,-15,-7,3000.0,100000
65,-13,-7,3000.0,100000
66,-11,-7,3000.0,100000
67,-9,-7,3000.0,100000
68,-7,-7,3000.0,100000
69,-5,-7,3000.0,100000
70,-3,-7,3000.0,100000
71,-1,-7,3000.0,100000
72,1,-7,3000.0,100000
73,3,-7,3000.0,100000
74,5,-7,3000.0,100000
75,7,-7,3000.0,100000
76,9,-7,3000.0,100000
77,11,-7,3000.0,100000
78,13,-7,3000.0,100000
79,15,-7,3000.0,100000
80,-15,-5,3000.0,100000
81,-13,-5,3000.0,100000
82,-11,-5,3000.0,100000
83,-9,-5,3000.0,100000
84,-7,-5,3000.0,100000
85,-5,-5,3000.0,100000
86,-3,-5,3000.0,100000
87,-1,-5,3000.0,100000
88,1,-5,3000.0,100000
89,3,-5,3000.0,100000
90,5,-5,3000.0,100000
91,7,-5,3000.0,100000
92,9,-5,3000.0,100000
93,11,-5,3000.0,100000
94,13,-5,3000.0,100000
95,15,-5,3000.0,100000
96,-15,-3,3000.0,100000
97,-13,-3,3000.0,100000
98,-11,-3,3000.0,100000
99,-9,-3,3000.0,100000
100,-7,-3,3000.0,100000
101,-5,-3,3000.0,100000
102,-3,-3,3000.0,100000
103,-1,-3,3000.0,100000
104,1,-3,3000.0,100000
105,3,-3,3000.0,100000
106,5,-3,3000.0,100000
107,7,-3,3000.0,100000
108,9,-3,3000.0,100000
109,11,-3,3000.0,100000
110,13,-3,3000.0,100000
111,15,-3,3000.0,100000
112,-15,-1,3000.0,100000
113,-13,-1,3000.0,100000
114,-11,-1,3000.0,100000
115,-9,-1,3000.0,100000
116,-7,-1,3000.0,100000
117,-5,-1,3000.0,100000
118,-3,-1,3000.0,100000
119,-1,-1,3000.0,100000
120,1,-1,3000.0,100000
121,3,-1,3000.0,100000
122,5,-1,3000.0,100000
123,7,-1,3000.0,100000
124,9,-1,3000.0,100000
125,11,-1,3000.0,100000
126,13,-1,3000.0,100000
127,15,-1,3000.0,100000
128,-15,1,3000.0,100000
129,-13,1,3000.0,100000
130,-11,1,3000.0,100000
131,-9,1,3000.0,100000
132,-7,1,3000.0,100000
133,-5,1,3000.0,100000
134,-3,1,3000.0,100000
135,-1,1,3000.0,100000
136,1,1,3000.0,100000
137,3,1,3000.0,100000
138,5,1,3000.0,100000
139,7,1,3000.0,100000
140,9,1,3000.0,100000
141,11,1,3000.0,100000
142,13,1,3000.0,100000
143,15,1,3000.0,100000
144,-15,3,3000.0,100000
145,-13,3,3000.0,100000
146,-11,3,3000.0,100000
147,-9,3,3000.0,100000
148,-7,3,3000.0,100000
149,-5,3,3000.0,100000
150,-3,3,3000.0,100000
151,-1,3,3000.0,100000
152,1,3,3000.0,100000
153,3,3,3000.0,100000
154,5,3,3000.0,100000
155,7,3,3000.0,100000
156,9,3,3000.0,100000
157,11,3,3000.0,100000
158,13,3,3000.0,100000
159,15,3,3000.0,100000
160,-15,5,3000.0,100000
161,-13,5,3000.0,100000
162,-11,5,3000.0,100000
163,-9,5,3000.0,100000
164,-7,5,3000.0,100000
165,-5,5,3000.0,100000
166,-3,5,3000.0,100000
167,-1,5,3000.0,100000
168,1,5,3000.0,100000
169,3,5,3000.0,100000
170,5,5,3000.0,100000
171,7,5,3000.0,100000
172,9,5,3000.0,100000
173,11,5,3000.0,100000
174,13,5,3000.0,100000
175,15,5,3000.0,100000
176,-15,7,3000.0,100000
177,-13,7,3000.0,100000
178,-11,7,3000.0,100000
179,-9,7,3000.0,100000
180,-7,7,3000.0,100000
181,-5,7,3000.0,100000
182,-3,7,3000.0,100000
183,-1,7,3000.0,100000
184,1,7,3000.0,100000
185,3,7,3000.0,100000
186,5,7,3000.0,100000
187,7,7,3000.0,100000
188,9,7,3000.0,100000
189,11,7,3000.0,100000
