case,gpu_histories,topas_histories,topas_peak_mm,gpu_peak_mm,peak_error_percent,previous_peak_error_percent,energy_error_percent,balance_error
b1_100,50000,200000,25.75,25.75,-0.0618338743129776,0.05703931173282051,-0.3220966708898487,5.39296920151e-06
b1_200,50000,200000,86.75,86.75,0.27774180595994125,-0.15219253523430787,-0.5139237013046971,4.758264938e-06
b1_300,50000,200000,171.75,171.75,-0.33972341458646804,-0.1597399810122524,-0.7266343975864786,4.85990802447e-06
b2_250,50000,200000,124.75,124.75,-0.40096654844106183,-1.3376398666330114,-0.7313607993150617,5.53657908317e-06
b3_layers,50000,200000,188.25,188.25,-0.594374190008784,-1.783694919907164,-0.6954680361211718,3.6690361006e-06
b4_soft_bone,50000,200000,95.75,95.75,-1.3746408810027422,-2.120041828262631,-0.7812382250620642,4.42160885641e-06
b4_soft_lung,50000,200000,136.75,136.75,-0.3999079664406713,-1.556785600778876,-0.4582918954132431,3.94013110355e-06
