depth_mm,evaluated_voxels,global_passing_voxels,global_pass_rate_percent,local_passing_voxels,local_pass_rate_percent
32.125,385,385,100.0,223,57.922077922077925
32.375,385,385,100.0,222,57.66233766233766
32.625,385,385,100.0,232,60.25974025974026
32.875,385,385,100.0,229,59.48051948051948
33.125,385,385,100.0,218,56.62337662337662
33.375,385,385,100.0,224,58.18181818181818
33.625,386,386,100.0,220,56.994818652849744
33.875,386,386,100.0,227,58.80829015544042
34.125,386,386,100.0,225,58.29015544041451
34.375,385,385,100.0,225,58.44155844155844
34.625,386,386,100.0,214,55.44041450777202
34.875,385,385,100.0,212,55.064935064935064
35.125,385,385,100.0,222,57.66233766233766
35.375,385,385,100.0,226,58.701298701298704
35.625,385,385,100.0,230,59.74025974025974
35.875,385,385,100.0,219,56.883116883116884
36.125,385,385,100.0,229,59.48051948051948
36.375,384,384,100.0,228,59.375
36.625,385,385,100.0,223,57.922077922077925
36.875,385,385,100.0,218,56.62337662337662
37.125,386,386,100.0,209,54.145077720207254
37.375,385,385,100.0,216,56.103896103896105
37.625,385,385,100.0,207,53.76623376623377
37.875,384,384,100.0,201,52.34375
38.125,384,384,100.0,209,54.427083333333336
38.375,384,384,100.0,213,55.46875
38.625,385,385,100.0,225,58.44155844155844
38.875,385,385,100.0,227,58.96103896103896
39.125,384,384,100.0,225,58.59375
39.375,385,385,100.0,222,57.66233766233766
39.625,386,386,100.0,225,58.29015544041451
39.875,385,385,100.0,214,55.58441558441559
40.125,386,386,100.0,220,56.994818652849744
40.375,386,386,100.0,233,60.362694300518136
40.625,386,386,100.0,228,59.067357512953365
40.875,386,386,100.0,229,59.32642487046632
41.125,386,386,100.0,228,59.067357512953365
41.375,386,386,100.0,224,58.031088082901555
41.625,387,387,100.0,216,55.81395348837209
41.875,386,386,100.0,214,55.44041450777202
42.125,386,386,100.0,214,55.44041450777202
42.375,386,386,100.0,215,55.69948186528497
42.625,387,387,100.0,220,56.84754521963824
42.875,387,387,100.0,227,58.656330749354005
43.125,387,387,100.0,231,59.689922480620154
43.375,387,387,100.0,224,57.88113695090439
43.625,387,387,100.0,228,58.91472868217054
43.875,387,387,100.0,225,58.13953488372093
44.125,387,387,100.0,220,56.84754521963824
44.375,386,386,100.0,230,59.58549222797927
44.625,386,386,100.0,218,56.476683937823836
44.875,386,386,100.0,227,58.80829015544042
45.125,387,387,100.0,214,55.29715762273902
45.375,387,387,100.0,222,57.36434108527132
45.625,387,387,100.0,218,56.33074935400517
45.875,387,387,100.0,234,60.46511627906977
46.125,386,386,100.0,238,61.6580310880829
46.375,386,386,100.0,232,60.10362694300518
46.625,386,386,100.0,229,59.32642487046632
46.875,386,386,100.0,222,57.512953367875646
47.125,386,386,100.0,217,56.21761658031088
47.375,386,386,100.0,227,58.80829015544042
47.625,386,386,100.0,240,62.17616580310881
47.875,386,386,100.0,237,61.398963730569946
48.125,386,386,100.0,232,60.10362694300518
48.375,386,386,100.0,228,59.067357512953365
48.625,386,386,100.0,228,59.067357512953365
48.875,386,386,100.0,224,58.031088082901555
49.125,386,386,100.0,209,54.145077720207254
49.375,386,386,100.0,222,57.512953367875646
49.625,386,386,100.0,220,56.994818652849744
49.875,386,386,100.0,221,57.25388601036269
50.125,387,387,100.0,217,56.07235142118863
50.375,387,387,100.0,218,56.33074935400517
50.625,387,387,100.0,226,58.39793281653747
50.875,388,388,100.0,227,58.50515463917526
51.125,387,387,100.0,226,58.39793281653747
51.375,387,387,100.0,233,60.20671834625323
51.625,387,387,100.0,230,59.43152454780362
51.875,388,388,100.0,219,56.44329896907217
52.125,388,388,100.0,222,57.21649484536083
52.375,388,388,100.0,224,57.7319587628866
52.625,388,388,100.0,220,56.70103092783505
52.875,388,388,100.0,216,55.670103092783506
53.125,388,388,100.0,248,63.91752577319588
53.375,388,388,100.0,238,61.34020618556701
53.625,388,388,100.0,226,58.24742268041237
53.875,388,388,100.0,241,62.11340206185567
54.125,388,388,100.0,238,61.34020618556701
54.375,388,388,100.0,236,60.824742268041234
54.625,387,387,100.0,234,60.46511627906977
54.875,388,388,100.0,231,59.5360824742268
55.125,388,388,100.0,243,62.628865979381445
55.375,388,388,100.0,233,60.05154639175258
55.625,388,388,100.0,227,58.50515463917526
55.875,388,388,100.0,222,57.21649484536083
56.125,388,388,100.0,229,59.02061855670103
56.375,388,388,100.0,226,58.24742268041237
56.625,388,388,100.0,224,57.7319587628866
56.875,388,388,100.0,233,60.05154639175258
57.125,387,387,100.0,236,60.98191214470284
57.375,387,387,100.0,233,60.20671834625323
57.625,387,387,100.0,234,60.46511627906977
57.875,387,387,100.0,225,58.13953488372093
58.125,388,388,100.0,231,59.5360824742268
58.375,388,388,100.0,234,60.30927835051546
58.625,388,388,100.0,242,62.371134020618555
58.875,388,388,100.0,239,61.597938144329895
59.125,388,388,100.0,253,65.20618556701031
59.375,388,388,100.0,244,62.88659793814433
59.625,388,388,100.0,250,64.43298969072166
59.875,388,388,100.0,240,61.855670103092784
