# C12 in Water_75eV restricted loss-range table, Geant4 11.3.2 opt4+decay, default-region 0.05mm cuts couple.
# zeff 3.3334
# radlen_mm 360.829
# density_g_per_cm3 1.0
# energy_MeVu,energy_total_MeV,loss_range_mm,restricted_dedx_MeV_per_mm,inverse_residual_MeV
12.210000,146.520000,0.590075,138.256000,0.530113
12.310000,147.720000,0.598683,137.365000,0.522975
12.410000,148.920000,0.607348,136.486000,0.515948
12.510000,150.120000,0.616070,135.620000,0.509012
12.610000,151.320000,0.624850,134.766000,0.502149
12.710000,152.520000,0.633686,133.924000,0.495351
12.810000,153.720000,0.642579,133.093000,0.488613
12.910000,154.920000,0.651529,132.273000,0.481933
13.010000,156.120000,0.660535,131.465000,0.475319
13.110000,157.320000,0.669598,130.667000,0.468779
13.210000,158.520000,0.678717,129.880000,0.462331
13.310000,159.720000,0.687893,129.104000,0.455997
13.410000,160.920000,0.697125,128.337000,0.449803
13.510000,162.120000,0.706414,127.580000,0.443773
13.610000,163.320000,0.715758,126.833000,0.437889
13.710000,164.520000,0.725159,126.096000,0.432127
13.810000,165.720000,0.734615,125.367000,0.426464
13.910000,166.920000,0.744128,124.648000,0.420881
14.010000,168.120000,0.753697,123.938000,0.415363
14.110000,169.320000,0.763321,123.237000,0.409898
14.210000,170.520000,0.773001,122.544000,0.404479
14.310000,171.720000,0.782737,121.860000,0.399102
14.410000,172.920000,0.792529,121.185000,0.393765
14.510000,174.120000,0.802376,120.517000,0.388471
14.610000,175.320000,0.812278,119.858000,0.383229
14.710000,176.520000,0.822237,119.206000,0.378048
14.810000,177.720000,0.832250,118.563000,0.372945
14.910000,178.920000,0.842319,117.926000,0.367936
15.010000,180.120000,0.852443,117.297000,0.363047
15.110000,181.320000,0.862622,116.676000,0.358293
15.210000,182.520000,0.872857,116.061000,0.353660
15.310000,183.720000,0.883146,115.453000,0.349127
15.410000,184.920000,0.893491,114.853000,0.344676
15.510000,186.120000,0.903890,114.259000,0.340290
15.610000,187.320000,0.914345,113.671000,0.335958
15.710000,188.520000,0.924854,113.091000,0.331667
15.810000,189.720000,0.935418,112.517000,0.327410
15.910000,190.920000,0.946037,111.949000,0.323182
16.010000,192.120000,0.956710,111.387000,0.318979
16.110000,193.320000,0.967438,110.832000,0.314802
16.210000,194.520000,0.978221,110.283000,0.310654
16.310000,195.720000,0.989058,109.740000,0.306539
16.410000,196.920000,0.999949,109.202000,0.302466
16.510000,198.120000,1.010900,108.671000,0.298446
16.610000,199.320000,1.021900,108.145000,0.294493
16.710000,200.520000,1.032950,107.625000,0.290624
16.810000,201.720000,1.044060,107.110000,0.286859
16.910000,202.920000,1.055220,106.600000,0.283207
17.010000,204.120000,1.066440,106.096000,0.279653
17.110000,205.320000,1.077710,105.597000,0.276180
17.210000,206.520000,1.089030,105.103000,0.272773
17.310000,207.720000,1.100410,104.615000,0.269418
17.410000,208.920000,1.111850,104.131000,0.266105
17.510000,210.120000,1.123330,103.652000,0.262823
17.610000,211.320000,1.134870,103.179000,0.259566
17.710000,212.520000,1.146470,102.709000,0.256326
17.810000,213.720000,1.158110,102.245000,0.253101
17.910000,214.920000,1.169810,101.785000,0.249889
18.010000,216.120000,1.181570,101.330000,0.246689
18.110000,217.320000,1.193380,100.880000,0.243504
18.210000,218.520000,1.205240,100.433000,0.240337
18.310000,219.720000,1.217150,99.991400,0.237195
18.410000,220.920000,1.229120,99.553800,0.234086
18.510000,222.120000,1.241140,99.120500,0.231020
