# C12 in Cu restricted loss-range table, Geant4 11.3.2 opt4, default-region 0.05mm cuts couple (theRangeTableForLoss).
# energy_MeVu,energy_total_MeV,loss_range_mm,restricted_dedx_MeV_per_mm,inverse_residual_MeV
12.010000,144.120000,0.112836,768.130000,0.567717
12.110000,145.320000,0.114420,763.294000,0.559843
12.210000,146.520000,0.116013,758.510000,0.552115
12.310000,147.720000,0.117617,753.777000,0.544515
12.410000,148.920000,0.119230,749.095000,0.537029
12.510000,150.120000,0.120853,744.465000,0.529643
12.610000,151.320000,0.122486,739.885000,0.522348
12.710000,152.520000,0.124129,735.355000,0.515139
12.810000,153.720000,0.125782,730.876000,0.508011
12.910000,154.920000,0.127445,726.446000,0.500964
13.010000,156.120000,0.129118,722.066000,0.494002
13.110000,157.320000,0.130801,717.736000,0.487131
13.210000,158.520000,0.132494,713.454000,0.480361
13.310000,159.720000,0.134197,709.222000,0.473703
13.410000,160.920000,0.135910,705.038000,0.467176
13.510000,162.120000,0.137633,700.902000,0.460795
13.610000,163.320000,0.139366,696.814000,0.454546
13.710000,164.520000,0.141109,692.774000,0.448411
13.810000,165.720000,0.142862,688.780000,0.442370
13.910000,166.920000,0.144625,684.832000,0.436411
14.010000,168.120000,0.146399,680.929000,0.430521
14.110000,169.320000,0.148182,677.072000,0.424693
14.210000,170.520000,0.149975,673.258000,0.418920
14.310000,171.720000,0.151779,669.487000,0.413200
14.410000,172.920000,0.153592,665.759000,0.407534
14.510000,174.120000,0.155415,662.074000,0.401924
14.610000,175.320000,0.157249,658.429000,0.396378
14.710000,176.520000,0.159093,654.826000,0.390905
14.810000,177.720000,0.160946,651.263000,0.385520
14.910000,178.920000,0.162810,647.739000,0.380237
15.010000,180.120000,0.164684,644.277000,0.375078
15.110000,181.320000,0.166567,640.853000,0.370057
15.210000,182.520000,0.168461,637.465000,0.365161
15.310000,183.720000,0.170365,634.116000,0.360369
15.410000,184.920000,0.172279,630.803000,0.355663
15.510000,186.120000,0.174202,627.528000,0.351027
15.610000,187.320000,0.176136,624.290000,0.346448
15.710000,188.520000,0.178080,621.089000,0.341916
15.810000,189.720000,0.180033,617.926000,0.337423
15.910000,190.920000,0.181997,614.800000,0.332965
16.010000,192.120000,0.183970,611.711000,0.328540
16.110000,193.320000,0.185953,608.660000,0.324148
16.210000,194.520000,0.187946,605.646000,0.319794
16.310000,195.720000,0.189949,602.670000,0.315485
16.410000,196.920000,0.191962,599.732000,0.311229
16.510000,198.120000,0.193984,596.830000,0.307040
16.610000,199.320000,0.196016,593.967000,0.302933
16.710000,200.520000,0.198058,591.140000,0.298927
16.810000,201.720000,0.200109,588.352000,0.295043
16.910000,202.920000,0.202171,585.601000,0.291291
17.010000,204.120000,0.204242,582.886000,0.287653
17.110000,205.320000,0.206322,580.209000,0.284108
