case,gpu_histories,topas_histories,topas_peak_mm,gpu_peak_mm,peak_error_percent,previous_peak_error_percent,energy_error_percent,balance_error
b1_100,50000,200000,25.75,25.75,-0.061833686754464434,0.05703931173282051,-0.3220965639233575,5.39277884811e-06
b1_200,50000,200000,86.75,86.75,0.27774270394009815,-0.15219253523430787,-0.5139236587789808,4.75858181218e-06
b1_300,50000,200000,171.75,171.75,-0.33972277575416987,-0.1597399810122524,-0.7266343892272209,4.86009960704e-06
b2_250,50000,200000,124.75,124.75,-0.40096609982073206,-1.3376398666330114,-0.7313608081592649,5.53624043844e-06
b3_layers,50000,200000,188.25,188.25,-0.5943739396014669,-1.783694919907164,-0.6954680283851711,3.66945468478e-06
b4_soft_bone,50000,200000,95.75,95.75,-1.3746401980398448,-2.120041828262631,-0.7812381749548902,4.42222663566e-06
b4_soft_lung,50000,200000,136.75,136.75,-0.3999077492816583,-1.556785600778876,-0.4582918645071321,3.9403940531e-06
