depth_mm,window_mm,valley_percent,GPU_SE_pp,combined_SE_pp,CI95_low_percent,CI95_high_percent,peak_percent,row_percent
20,0.25,-0.9878708565048244,0.598070891177197,0.7582130590337266,-2.622236776124229,0.6464950631145799,1.3939022552698743,0.19221805457756425
20,10,-0.1616671209747511,0.47467545996341526,0.7463825093242035,-1.89466519988447,1.5713309579349677,1.448601844163444,0.1759665106940922
40,0.25,1.7089407253619626,0.6500066493372119,1.065418581018152,-0.8047001673141176,4.222581618038043,0.9542342369661005,0.2473870355385932
40,10,1.030111701705283,0.4984556692281627,0.862411823828185,-1.047217084480638,3.107440487891204,0.9486435680837735,0.26075451282543405
60,0.25,0.7778812521042289,0.5351699441783846,0.8395040396845675,-1.1695515602145625,2.7253140644230203,0.6368543668913818,0.37919473351955
60,10,0.3688375933704746,0.27729353145787816,0.5240591541588685,-0.9357145943610014,1.6733897811019507,0.6306981682341339,0.2988979096792743
80,0.25,0.1734059938766519,0.4873792231421803,1.0222649715902832,-2.465156573883312,2.8119685616366157,0.5423627959419308,0.3667520420095993
80,10,0.2099133792770269,0.42869360285217994,0.8422535381419473,-1.9160062487042804,2.3358330072583344,0.6118638947707922,0.3152819790285033
100,0.25,1.8376509101296623,0.4708675855804907,0.550343262847641,0.6714119643164658,3.003889855942859,0.8031043597833687,0.3715239375171153
100,10,1.3777081933892044,0.4613039136160609,0.5115361292156765,0.2984014677598975,2.457014919018511,0.7152839190160076,0.3663208851384603
120,0.25,0.4279891508332856,0.5682108865139907,0.7985796430295166,-1.3503064370353228,2.206284738701894,0.4397107788859156,0.27145069100729113
120,10,0.6469268628103153,0.37871535725168126,0.632912833511327,-0.8575000416332872,2.1513537672539176,0.457949106067046,0.304959016327766
