# Interpolated TOPAS C-12 delta-electron fraction on the 0.01+0.1*n MeV/u stopping-power grid.
energy_MeVu,delta_electron_fraction
22.71,0.0025490271144
22.81,0.00258673143644
22.91,0.00262443575847
23.01,0.0026621400805
23.11,0.00269984440254
23.21,0.00273754872457
23.31,0.0027752530466
23.41,0.00281295736864
23.51,0.00285066169067
23.61,0.0028883660127
23.71,0.00292607033473
23.81,0.00296377465677
23.91,0.0030014789788
24.01,0.00304055422144
24.11,0.00309196774957
24.21,0.00314338127771
24.31,0.00319479480584
24.41,0.00324620833397
24.51,0.0032976218621
24.61,0.00334903539023
24.71,0.00340044891836
24.81,0.00345186244649
24.91,0.00350327597462
25.01,0.00355481593522
25.11,0.00360749378805
25.21,0.00366017164088
25.31,0.00371284949371
25.41,0.00376552734654
25.51,0.00381820519937
25.61,0.0038708830522
25.71,0.00392356090503
25.81,0.00397623875786
25.91,0.00402891661069
26.01,0.00408159446352
26.11,0.00413427231635
26.21,0.00418695016918
26.31,0.00423962802201
26.41,0.00429230587484
26.51,0.00434498372767
26.61,0.0043976615805
26.71,0.00445033943333
26.81,0.00450301728615
26.91,0.00455569513898
27.01,0.00461264324984
27.11,0.00470802368291
27.21,0.00480340411599
27.31,0.00489878454906
27.41,0.00499416498213
27.51,0.00508954541521
27.61,0.00518492584828
27.71,0.00528030628136
27.81,0.00537568671443
27.91,0.0054710671475
28.01,0.00556705768873
28.11,0.00566853920332
28.21,0.00577002071792
28.31,0.00587150223251
28.41,0.00597298374711
28.51,0.0060744652617
28.61,0.0061759467763
28.71,0.00627742829089
28.81,0.00637890980549
28.91,0.00648039132008
29.01,0.00658213817177
29.11,0.00668627305725
29.21,0.00679040794273
29.31,0.00689454282821
29.41,0.0069986777137
29.51,0.00710281259918
29.61,0.00720694748466
29.71,0.00731108237014
29.81,0.00741521725562
29.91,0.00751935214111
30.01,0.00762708878206
30.11,0.0077672412223
30.21,0.00790739366254
30.31,0.00804754610278
30.41,0.00818769854302
30.51,0.00832785098325
30.61,0.00846800342349
30.71,0.00860815586373
30.81,0.00874830830397
30.91,0.00888846074421
31.01,0.00902861318444
31.11,0.00916876562468
31.21,0.00930891806492
31.31,0.00944907050516
31.41,0.0095892229454
31.51,0.00972937538563
31.61,0.00986952782587
31.71,0.0100096802661
31.81,0.0101498327063
31.91,0.0102899851466
32.01,0.0104311653636
32.11,0.0105815955719
32.21,0.0107320257801
32.31,0.0108824559884
32.41,0.0110328861966
32.51,0.0111833164049
32.61,0.0113337466131
32.71,0.0114841768214
32.81,0.0116346070296
32.91,0.0117850372379
33.01,0.0119367385609
33.11,0.0120998799166
33.21,0.0122630212724
33.31,0.0124261626282
33.41,0.012589303984
33.51,0.0127524453397
33.61,0.0129155866955
33.71,0.0130787280513
33.81,0.013241869407
33.91,0.0134050107628
34.01,0.0135681521186
34.11,0.0137312934744
34.21,0.0138944348301
34.31,0.0140575761859
34.41,0.0142207175417
34.51,0.0143838588975
34.61,0.0145470002533
34.71,0.014710141609
34.81,0.0148732829648
34.91,0.0150364243206
35.01,0.015202228324
35.11,0.0153919961564
35.21,0.0155817639888
35.31,0.0157715318212
35.41,0.0159612996536
35.51,0.016151067486
35.61,0.0163408353184
35.71,0.0165306031508
35.81,0.0167203709832
35.91,0.0169101388156
36.01,0.0170999717634
36.11,0.0172903907489
36.21,0.0174808097345
36.31,0.0176712287201
36.41,0.0178616477057
36.51,0.0180520666913
36.61,0.0182424856768
36.71,0.0184329046624
36.81,0.018623323648
36.91,0.0188137426336
37.01,0.0190053780341
37.11,0.0192079611687
37.21,0.0194105443033
37.31,0.0196131274379
37.41,0.0198157105725
37.51,0.0200182937072
37.61,0.0202208768418
37.71,0.0204234599764
37.81,0.020626043111
37.91,0.0208286262456
38.01,0.0210319209388
38.11,0.0212416196592
38.21,0.0214513183795
38.31,0.0216610170998
38.41,0.0218707158201
38.51,0.0220804145404
38.61,0.0222901132608
38.71,0.0224998119811
38.81,0.0227095107014
38.91,0.0229192094217
39.01,0.0231286189108
39.11,0.0233354253193
39.21,0.0235422317277
39.31,0.0237490381361
39.41,0.0239558445446
39.51,0.024162650953
39.61,0.0243694573614
39.71,0.0245762637699
39.81,0.0247830701783
39.91,0.0249898765867
40.01,0.0251962360823
40.11,0.0253985733626
40.21,0.0256009106428
40.31,0.0258032479231
40.41,0.0260055852034
40.51,0.0262079224836
40.61,0.0264102597639
40.71,0.0266125970441
