# TOPAS 4.2.p3 / Geant4 11.3.2 Copper neutral macroscopic total cross sections.
pdg_id,energy_MeV,macroscopic_total_cross_section_per_mm,mean_free_path_mm
22,0.00418472,275.311,0.00363225
22,0.00429866,256.104,0.00390466
22,0.0044157,238.205,0.00419807
22,0.00453593,221.48,0.00451509
22,0.00465944,205.874,0.00485734
22,0.0047863,191.383,0.00522512
22,0.00491662,177.954,0.00561943
22,0.00505049,165.444,0.00604433
22,0.005188,153.754,0.00650391
22,0.00532926,142.813,0.00700216
22,0.00547436,132.726,0.00753429
22,0.00562341,123.335,0.008108
22,0.00577653,114.632,0.00872357
22,0.00593381,106.51,0.00938882
22,0.00609537,98.9114,0.0101101
22,0.00626133,91.8562,0.0108866
22,0.00643181,85.3632,0.0117147
22,0.00660693,79.3125,0.0126083
22,0.00678683,73.6532,0.0135771
22,0.00697161,68.3854,0.014623
22,0.00716143,63.4828,0.0157523
22,0.00735642,58.9415,0.016966
22,0.00755672,54.7236,0.0182736
22,0.00776247,50.8151,0.0196792
22,0.00797382,47.1441,0.0212116
22,0.00819093,43.7396,0.0228626
22,0.00841395,40.5621,0.0246535
22,0.00864304,37.5649,0.0266206
22,0.00887837,34.7145,0.0288064
22,0.00912011,242.197,0.00412887
22,0.00936843,228.118,0.0043837
22,0.00962351,214.157,0.00466947
22,0.00988553,200.604,0.00498496
22,0.0101547,187.572,0.00533127
22,0.0104312,175.123,0.00571026
22,0.0107152,163.301,0.00612367
22,0.0110069,152.14,0.00657289
22,0.0113066,141.645,0.00705992
22,0.0116145,131.797,0.00758741
22,0.0119307,122.587,0.00815749
22,0.0122556,113.989,0.00877274
22,0.0125893,105.975,0.00943622
22,0.012932,98.512,0.010151
22,0.0132841,91.5711,0.0109205
22,0.0136458,85.1189,0.0117483
22,0.0140174,79.1222,0.0126387
22,0.014399,73.5521,0.0135958
22,0.0147911,68.3789,0.0146244
22,0.0151938,63.5731,0.0157299
22,0.0156075,59.1088,0.0169179
22,0.0160325,54.9621,0.0181944
22,0.016469,51.1089,0.0195661
22,0.0169174,47.5275,0.0210404
22,0.017378,44.1988,0.0226251
22,0.0178512,41.1037,0.0243287
22,0.0183372,38.2246,0.0261611
22,0.0188365,35.5467,0.028132
22,0.0193494,33.0553,0.0302524
22,0.0198762,30.7357,0.0325354
22,0.0204174,28.577,0.0349932
22,0.0209733,26.5676,0.0376398
22,0.0215443,24.6962,0.0404921
22,0.0221309,22.9536,0.0435661
22,0.0227335,21.3312,0.0468796
22,0.0233525,19.8202,0.0504535
22,0.0239883,18.4127,0.0543102
22,0.0246415,17.1024,0.0584715
22,0.0253124,15.8823,0.0629633
22,0.0260016,14.7459,0.0678155
22,0.0267096,13.6883,0.0730553
22,0.0274368,12.7041,0.078715
22,0.0281838,11.7877,0.0848339
22,0.0289512,10.9354,0.0914458
22,0.0297395,10.1429,0.0985913
22,0.0305492,9.40569,0.106319
22,0.031381,8.72054,0.114672
22,0.0322354,8.08389,0.123703
22,0.0331131,7.49237,0.133469
22,0.0340147,6.94312,0.144027
22,0.0349408,6.43334,0.15544
22,0.0358922,5.96018,0.16778
22,0.0368695,5.52123,0.181119
22,0.0378733,5.11429,0.19553
22,0.0389045,4.73699,0.211105
22,0.0399638,4.38729,0.227931
22,0.0410519,4.06338,0.2461
22,0.0421696,3.76351,0.26571
22,0.0433178,3.48596,0.286865
22,0.0444973,3.22932,0.309663
22,0.0457088,2.99211,0.334212
