energy_MeVu,total_kinetic_energy_MeV,electronic_stopping_power_MeV_per_mm,total_stopping_power_MeV_per_mm,csda_range_mm
0.01,0.12,215.789,244.498,0
0.11,1.32,691.516,696.289,0
0.21,2.52,818.656,821.442,0
0.31,3.72,831.967,833.978,0
0.41,4.92,810.347,811.928,0
0.51,6.12,784.614,785.933,0
0.61,7.32,759.696,760.837,0
0.71,8.52,737.532,738.531,0
0.81,9.72,716.33,717.229,0
0.91,10.92,696.72,697.531,0
1.01,12.12,677.526,678.252,0
1.11,13.32,659.791,660.47,0
1.21,14.52,642.056,642.689,0
1.31,15.72,625.535,626.122,0
1.41,16.92,609.628,610.178,0
1.51,18.12,593.72,594.24,0
1.61,19.32,578.668,579.162,0
1.71,20.52,564.685,565.155,0
1.81,21.72,550.703,551.148,0
1.91,22.92,536.721,537.142,0
2.01,24.12,506.133,506.531,0
2.11,25.32,492.523,492.906,0
2.21,26.52,479.658,480.027,0
2.31,27.72,467.481,467.837,0
2.41,28.92,455.937,456.279,0
2.51,30.12,444.896,445.225,0
2.61,31.32,434.194,434.511,0
2.71,32.52,424.069,424.374,0
2.81,33.72,414.414,414.71,0
2.91,34.92,405.198,405.486,0
3.01,36.12,396.396,396.675,0
3.11,37.32,387.977,388.249,0
3.21,38.52,379.919,380.183,0
3.31,39.72,372.201,372.458,0
3.41,40.92,364.801,365.051,0
3.51,42.12,357.776,358.02,0
3.61,43.32,351.273,351.511,0
3.71,44.52,345.01,345.242,0
3.81,45.72,338.974,339.201,0
3.91,46.92,333.155,333.376,0
4.01,48.12,327.54,327.756,0
4.11,49.32,322.11,322.321,0
4.21,50.52,316.86,317.067,0
4.31,51.72,311.788,311.992,0
4.41,52.92,306.886,307.086,0
4.51,54.12,302.136,302.332,0
4.61,55.32,297.536,297.728,0
4.71,56.52,293.083,293.271,0
4.81,57.72,288.769,288.954,0
4.91,58.92,284.588,284.77,0
5.01,60.12,280.535,280.713,0
5.11,61.32,276.604,276.778,0
5.21,62.52,272.788,272.96,0
5.31,63.72,269.084,269.252,0
5.41,64.92,265.486,265.651,0
5.51,66.12,261.991,262.154,0
5.61,67.32,258.593,258.754,0
5.71,68.52,255.288,255.446,0
5.81,69.72,252.071,252.228,0
5.91,70.92,248.94,249.095,0
6.01,72.12,245.892,246.044,0
6.11,73.32,242.923,243.073,0
6.21,74.52,240.031,240.179,0
6.31,75.72,237.212,237.357,0
