# TOPAS/Geant4 C-12 stopping power in Copper (electronic dE/dx)
# Extracted via CarbonStoppingPowerNtuple / G4EmCalculator; not Bethe-Bloch development table.
energy_MeVu,stopping_power_MeV_per_mm
37.61,321.696
37.71,321.051
37.81,320.409
37.91,319.77
38.01,319.134
38.11,318.5
38.21,317.87
38.31,317.243
38.41,316.618
38.51,315.997
38.61,315.378
38.71,314.762
38.81,314.149
38.91,313.538
39.01,312.931
39.11,312.326
39.21,311.723
39.31,311.124
39.41,310.527
39.51,309.933
39.61,309.341
39.71,308.753
39.81,308.166
39.91,307.583
40.01,307.002
40.11,306.423
40.21,305.847
40.31,305.274
40.41,304.703
40.51,304.134
40.61,303.568
40.71,303.005
40.81,302.444
40.91,301.885
41.01,301.329
41.11,300.775
41.21,300.224
41.31,299.675
41.41,299.128
41.51,298.583
41.61,298.041
41.71,297.502
41.81,296.964
41.91,296.429
42.01,295.896
42.11,295.365
42.21,294.837
42.31,294.311
42.41,293.787
42.51,293.265
42.61,292.745
42.71,292.228
42.81,291.712
42.91,291.199
43.01,290.688
43.11,290.179
43.21,289.672
43.31,289.167
43.41,288.665
43.51,288.164
43.61,287.666
43.71,287.169
43.81,286.674
43.91,286.182
44.01,285.692
44.11,285.203
44.21,284.717
44.31,284.232
44.41,283.75
44.51,283.269
44.61,282.79
44.71,282.314
44.81,281.839
44.91,281.366
45.01,280.894
45.11,280.425
45.21,279.958
45.31,279.492
45.41,279.029
45.51,278.567
45.61,278.107
45.71,277.648
45.81,277.192
45.91,276.737
46.01,276.284
46.11,275.833
46.21,275.383
46.31,274.936
46.41,274.49
46.51,274.045
46.61,273.603
46.71,273.162
46.81,272.723
46.91,272.285
47.01,271.85
47.11,271.415
47.21,270.983
47.31,270.552
47.41,270.123
47.51,269.695
47.61,269.269
47.71,268.845
47.81,268.422
47.91,268.001
48.01,267.581
48.11,267.163
48.21,266.746
48.31,266.331
48.41,265.918
48.51,265.506
48.61,265.096
48.71,264.687
48.81,264.279
48.91,263.873
49.01,263.469
49.11,263.066
49.21,262.665
49.31,262.265
49.41,261.866
49.51,261.469
49.61,261.074
49.71,260.678
49.81,260.283
49.91,259.889
50.01,259.497
50.11,259.107
50.21,258.717
50.31,258.329
50.41,257.943
50.51,257.558
50.61,257.174
50.71,256.792
50.81,256.411
50.91,256.031
51.01,255.652
51.11,255.275
51.21,254.9
51.31,254.525
51.41,254.152
51.51,253.781
51.61,253.41
51.71,253.041
51.81,252.673
51.91,252.306
52.01,251.941
52.11,251.577
52.21,251.214
52.31,250.853
52.41,250.492
52.51,250.133
52.61,249.775
52.71,249.419
52.81,249.063
52.91,248.709
53.01,248.356
53.11,248.005
53.21,247.654
53.31,247.305
53.41,246.956
53.51,246.609
53.61,246.263
53.71,245.919
53.81,245.575
53.91,245.233
54.01,244.891
54.11,244.551
54.21,244.212
54.31,243.874
54.41,243.538
54.51,243.202
54.61,242.867
54.71,242.534
54.81,242.202
54.91,241.871
55.01,241.54
55.11,241.211
55.21,240.883
55.31,240.556
55.41,240.231
55.51,239.906
55.61,239.582
55.71,239.259
55.81,238.938
55.91,238.617
56.01,238.298
56.11,237.979
56.21,237.662
56.31,237.345
56.41,237.03
56.51,236.715
56.61,236.402
56.71,236.089
56.81,235.778
56.91,235.467
57.01,235.158
57.11,234.849
57.21,234.542
57.31,234.235
57.41,233.929
57.51,233.625
57.61,233.321
57.71,233.018
57.81,232.717
57.91,232.416
58.01,232.116
58.11,231.817
58.21,231.519
58.31,231.222
58.41,230.926
58.51,230.63
58.61,230.336
58.71,230.042
58.81,229.75
58.91,229.458
59.01,229.167
59.11,228.878
59.21,228.589
59.31,228.3
59.41,228.013
59.51,227.727
59.61,227.441
59.71,227.157
59.81,226.873
59.91,226.59
60.01,226.308
60.11,226.027
60.21,225.746
60.31,225.467
60.41,225.188
60.51,224.91
60.61,224.633
60.71,224.357
60.81,224.082
60.91,223.807
61.01,223.534
61.11,223.261
61.21,222.989
61.31,222.717
61.41,222.447
61.51,222.177
61.61,221.908
61.71,221.64
61.81,221.373
61.91,221.106
62.01,220.84
62.11,220.575
62.21,220.311
62.31,220.048
62.41,219.785
62.51,219.523
62.61,219.262
62.71,219.001
62.81,218.742
62.91,218.483
63.01,218.225
63.11,217.967
63.21,217.711
63.31,217.455
63.41,217.199
63.51,216.945
63.61,216.691
63.71,216.438
63.81,216.186
63.91,215.934
64.01,215.683
64.11,215.433
64.21,215.183
64.31,214.935
64.41,214.687
64.51,214.439
64.61,214.193
64.71,213.947
64.81,213.701
64.91,213.457
65.01,213.213
65.11,212.97
65.21,212.727
65.31,212.485
65.41,212.244
65.51,212.003
65.61,211.763
65.71,211.524
65.81,211.286
65.91,211.048
66.01,210.81
66.11,210.574
66.21,210.338
66.31,210.103
66.41,209.868
66.51,209.634
66.61,209.401
66.71,209.168
66.81,208.936
66.91,208.704
67.01,208.473
67.11,208.243
67.21,208.014
67.31,207.785
67.41,207.556
67.51,207.329
67.61,207.101
67.71,206.875
67.81,206.649
67.91,206.424
68.01,206.199
68.11,205.975
68.21,205.751
68.31,205.528
68.41,205.305
68.51,205.083
68.61,204.861
68.71,204.641
68.81,204.42
68.91,204.201
69.01,203.981
69.11,203.763
69.21,203.545
69.31,203.327
69.41,203.111
69.51,202.894
69.61,202.679
69.71,202.463
69.81,202.249
69.91,202.035
70.01,201.821
70.11,201.609
70.21,201.396
70.31,201.184
70.41,200.973
70.51,200.762
70.61,200.552
70.71,200.343
70.81,200.134
70.91,199.925
71.01,199.717
71.11,199.51
71.21,199.303
71.31,199.096
71.41,198.89
71.51,198.685
71.61,198.48
71.71,198.276
71.81,198.072
71.91,197.869
72.01,197.666
72.11,197.464
72.21,197.262
72.31,197.061
72.41,196.86
72.51,196.66
72.61,196.46
72.71,196.261
72.81,196.062
72.91,195.864
73.01,195.667
