energy_MeVu,total_kinetic_energy_MeV,electronic_stopping_power_MeV_per_mm,total_stopping_power_MeV_per_mm,csda_range_mm
194,2328,16.4469,16.4469,0
195,2340,16.3923,16.3923,0
196,2352,16.3382,16.3382,0
197,2364,16.2847,16.2847,0
198,2376,16.2317,16.2317,0
199,2388,16.1792,16.1792,0
200,2400,16.1272,16.1272,0
201,2412,16.0757,16.0757,0
202,2424,16.0247,16.0247,0
203,2436,15.9742,15.9742,0
204,2448,15.9242,15.9242,0
205,2460,15.8746,15.8746,0
206,2472,15.8256,15.8256,0
207,2484,15.7769,15.7769,0
208,2496,15.7288,15.7288,0
209,2508,15.681,15.681,0
210,2520,15.6338,15.6338,0
211,2532,15.5869,15.5869,0
212,2544,15.5405,15.5405,0
213,2556,15.4945,15.4945,0
214,2568,15.449,15.449,0
215,2580,15.4038,15.4038,0
216,2592,15.3591,15.3591,0
217,2604,15.3147,15.3147,0
218,2616,15.2708,15.2708,0
219,2628,15.2272,15.2272,0
220,2640,15.1841,15.1841,0
221,2652,15.1413,15.1413,0
222,2664,15.0989,15.0989,0
223,2676,15.0568,15.0568,0
224,2688,15.0151,15.0151,0
225,2700,14.9738,14.9738,0
226,2712,14.9329,14.9329,0
227,2724,14.8923,14.8923,0
228,2736,14.852,14.852,0
229,2748,14.8121,14.8121,0
230,2760,14.7725,14.7725,0
231,2772,14.7333,14.7333,0
232,2784,14.6944,14.6944,0
233,2796,14.6558,14.6558,0
234,2808,14.6175,14.6175,0
235,2820,14.5796,14.5796,0
236,2832,14.542,14.542,0
237,2844,14.5046,14.5046,0
238,2856,14.4676,14.4676,0
239,2868,14.4309,14.4309,0
240,2880,14.3945,14.3945,0
241,2892,14.3584,14.3584,0
242,2904,14.3226,14.3226,0
243,2916,14.2871,14.2871,0
244,2928,14.2518,14.2518,0
245,2940,14.2169,14.2169,0
246,2952,14.1822,14.1822,0
247,2964,14.1478,14.1478,0
248,2976,14.1137,14.1137,0
249,2988,14.0798,14.0798,0
250,3000,14.0462,14.0462,0
251,3012,14.0129,14.0129,0
252,3024,13.9798,13.9798,0
253,3036,13.947,13.947,0
254,3048,13.9144,13.9144,0
255,3060,13.8821,13.8821,0
256,3072,13.85,13.85,0
257,3084,13.8182,13.8182,0
258,3096,13.7867,13.7867,0
259,3108,13.7553,13.7553,0
260,3120,13.7242,13.7242,0
261,3132,13.6934,13.6934,0
262,3144,13.6627,13.6627,0
263,3156,13.6323,13.6323,0
264,3168,13.6021,13.6021,0
265,3180,13.5722,13.5722,0
266,3192,13.5425,13.5425,0
267,3204,13.513,13.513,0
268,3216,13.4837,13.4837,0
269,3228,13.4546,13.4546,0
270,3240,13.4257,13.4257,0
271,3252,13.3971,13.3971,0
272,3264,13.3686,13.3686,0
273,3276,13.3404,13.3404,0
274,3288,13.3124,13.3124,0
275,3300,13.2845,13.2845,0
276,3312,13.2569,13.2569,0
277,3324,13.2295,13.2295,0
278,3336,13.2022,13.2022,0
279,3348,13.1752,13.1752,0
280,3360,13.1483,13.1483,0
281,3372,13.1217,13.1217,0
282,3384,13.0952,13.0952,0
283,3396,13.0689,13.0689,0
284,3408,13.0428,13.0428,0
285,3420,13.0168,13.0168,0
286,3432,12.9911,12.9911,0
287,3444,12.9655,12.9655,0
288,3456,12.9401,12.9401,0
289,3468,12.9149,12.9149,0
