# TOPAS/Geant4 C-12 electronic stopping power in Water_75eV; 0.01+0.1*n MeV/u grid.
energy_MeVu,stopping_power_MeV_per_mm
37.01,56.6774
37.11,56.5548
37.21,56.4328
37.31,56.3113
37.41,56.1905
37.51,56.0702
37.61,55.9505
37.71,55.8314
37.81,55.7129
37.91,55.595
38.01,55.4776
38.11,55.3608
38.21,55.2445
38.31,55.1288
38.41,55.0137
38.51,54.8991
38.61,54.785
38.71,54.6715
38.81,54.5585
38.91,54.4461
39.01,54.3342
39.11,54.2228
39.21,54.1119
39.31,54.0016
39.41,53.8917
39.51,53.7824
39.61,53.6736
39.71,53.5652
39.81,53.4574
39.91,53.3501
40.01,53.2432
40.11,53.1369
40.21,53.031
40.31,52.9257
40.41,52.8208
40.51,52.7163
40.61,52.6124
40.71,52.5089
40.81,52.4059
40.91,52.3033
41.01,52.2012
41.11,52.0996
41.21,51.9984
41.31,51.8976
41.41,51.7974
41.51,51.6975
41.61,51.5981
41.71,51.4991
41.81,51.4006
41.91,51.3025
42.01,51.2048
42.11,51.1076
42.21,51.0108
42.31,50.9144
42.41,50.8184
42.51,50.7228
42.61,50.6277
42.71,50.5329
42.81,50.4386
42.91,50.3447
43.01,50.2511
43.11,50.158
43.21,50.0653
43.31,49.973
43.41,49.881
43.51,49.7895
43.61,49.6983
43.71,49.6075
43.81,49.5171
43.91,49.4271
44.01,49.3374
44.11,49.2482
44.21,49.1593
44.31,49.0707
44.41,48.9826
44.51,48.8948
44.61,48.8073
44.71,48.7203
44.81,48.6336
44.91,48.5472
45.01,48.4612
45.11,48.3756
45.21,48.2903
45.31,48.2053
45.41,48.1207
45.51,48.0364
45.61,47.9525
45.71,47.8689
45.81,47.7857
45.91,47.7028
46.01,47.6202
46.11,47.5379
46.21,47.456
46.31,47.3744
46.41,47.2931
46.51,47.2122
46.61,47.1316
46.71,47.0513
46.81,46.9713
46.91,46.8916
47.01,46.8123
47.11,46.7332
47.21,46.6545
47.31,46.576
47.41,46.4979
47.51,46.4201
47.61,46.3426
47.71,46.2654
47.81,46.1884
47.91,46.1118
48.01,46.0355
48.11,45.9595
48.21,45.8837
48.31,45.8083
48.41,45.7331
48.51,45.6582
48.61,45.5836
48.71,45.5093
48.81,45.4353
48.91,45.3616
49.01,45.2881
49.11,45.2149
49.21,45.142
49.31,45.0694
49.41,44.997
49.51,44.9249
49.61,44.8531
49.71,44.7815
49.81,44.7102
49.91,44.6392
50.01,44.5684
50.11,44.4979
50.21,44.4277
50.31,44.3577
50.41,44.288
50.51,44.2185
50.61,44.1493
50.71,44.0803
50.81,44.0116
50.91,43.9432
51.01,43.8749
51.11,43.807
51.21,43.7393
51.31,43.6718
51.41,43.6046
51.51,43.5376
51.61,43.4708
51.71,43.4043
51.81,43.338
51.91,43.272
52.01,43.2062
52.11,43.1406
52.21,43.0753
52.31,43.0102
52.41,42.9453
52.51,42.8807
52.61,42.8163
52.71,42.7521
52.81,42.6881
52.91,42.6244
53.01,42.5609
53.11,42.4976
53.21,42.4345
53.31,42.3717
53.41,42.309
53.51,42.2466
53.61,42.1844
53.71,42.1224
53.81,42.0606
53.91,41.9991
54.01,41.9377
54.11,41.8766
54.21,41.8157
54.31,41.7549
54.41,41.6944
54.51,41.6341
54.61,41.574
54.71,41.5141
54.81,41.4544
54.91,41.3949
55.01,41.3356
55.11,41.2765
55.21,41.2176
55.31,41.1589
55.41,41.1004
55.51,41.0421
55.61,40.984
55.71,40.9261
55.81,40.8684
55.91,40.8108
56.01,40.7535
56.11,40.6963
56.21,40.6394
56.31,40.5826
56.41,40.526
56.51,40.4696
56.61,40.4134
56.71,40.3573
56.81,40.3015
56.91,40.2458
57.01,40.1903
57.11,40.135
57.21,40.0799
57.31,40.0249
57.41,39.9701
57.51,39.9155
57.61,39.8611
57.71,39.8069
57.81,39.7528
57.91,39.6989
58.01,39.6452
58.11,39.5916
58.21,39.5382
58.31,39.485
58.41,39.432
58.51,39.3791
58.61,39.3264
58.71,39.2739
58.81,39.2215
58.91,39.1693
59.01,39.1172
59.11,39.0653
59.21,39.0136
59.31,38.9621
59.41,38.9107
59.51,38.8594
59.61,38.8083
59.71,38.7574
59.81,38.7067
59.91,38.6561
60.01,38.6056
60.11,38.5553
60.21,38.5052
60.31,38.4552
60.41,38.4054
60.51,38.3557
60.61,38.3062
60.71,38.2568
60.81,38.2076
60.91,38.1585
61.01,38.1096
61.11,38.0608
61.21,38.0122
61.31,37.9637
61.41,37.9154
61.51,37.8672
61.61,37.8192
61.71,37.7713
61.81,37.7235
61.91,37.6759
62.01,37.6285
62.11,37.5811
62.21,37.534
62.31,37.4869
62.41,37.44
62.51,37.3933
62.61,37.3466
62.71,37.3002
62.81,37.2538
62.91,37.2076
63.01,37.1615
63.11,37.1156
63.21,37.0698
63.31,37.0241
63.41,36.9786
63.51,36.9332
63.61,36.8879
63.71,36.8428
63.81,36.7978
63.91,36.7529
64.01,36.7082
64.11,36.6636
64.21,36.6191
64.31,36.5747
64.41,36.5305
64.51,36.4864
64.61,36.4424
64.71,36.3986
64.81,36.3549
64.91,36.3113
65.01,36.2678
65.11,36.2245
65.21,36.1813
65.31,36.1382
65.41,36.0952
65.51,36.0523
65.61,36.0096
65.71,35.967
65.81,35.9245
65.91,35.8821
66.01,35.8399
66.11,35.7978
66.21,35.7557
66.31,35.7139
66.41,35.6721
66.51,35.6304
66.61,35.5889
66.71,35.5474
66.81,35.5061
66.91,35.4649
67.01,35.4239
67.11,35.3829
67.21,35.342
67.31,35.3013
67.41,35.2607
67.51,35.2202
67.61,35.1798
67.71,35.1395
67.81,35.0993
67.91,35.0592
68.01,35.0192
68.11,34.9794
68.21,34.9397
68.31,34.9
68.41,34.8605
68.51,34.8211
68.61,34.7818
68.71,34.7426
68.81,34.7035
68.91,34.6645
69.01,34.6256
69.11,34.5868
69.21,34.5481
69.31,34.5095
69.41,34.4711
69.51,34.4327
69.61,34.3945
69.71,34.3563
69.81,34.3182
69.91,34.2803
70.01,34.2424
70.11,34.2047
70.21,34.167
70.31,34.1295
70.41,34.092
70.51,34.0546
70.61,34.0174
70.71,33.9802
70.81,33.9432
70.91,33.9062
71.01,33.8693
71.11,33.8326
71.21,33.7959
71.31,33.7593
71.41,33.7228
71.51,33.6865
71.61,33.6502
71.71,33.614
71.81,33.5779
71.91,33.5419
72.01,33.506
72.11,33.4701
72.21,33.4344
72.31,33.3988
72.41,33.3632
72.51,33.3278
72.61,33.2924
72.71,33.2572
72.81,33.222
72.91,33.1869
73.01,33.1519
73.11,33.117
73.21,33.0822
73.31,33.0474
73.41,33.0128
73.51,32.9782
73.61,32.9438
73.71,32.9094
73.81,32.8751
73.91,32.8409
74.01,32.8068
74.11,32.7728
74.21,32.7388
74.31,32.705
74.41,32.6712
74.51,32.6375
74.61,32.6039
74.71,32.5704
74.81,32.5369
74.91,32.5036
75.01,32.4703
75.11,32.4371
75.21,32.404
75.31,32.371
75.41,32.3381
75.51,32.3052
75.61,32.2724
75.71,32.2397
75.81,32.2071
75.91,32.1746
76.01,32.1421
76.11,32.1097
76.21,32.0774
76.31,32.0452
76.41,32.0131
76.51,31.981
76.61,31.9491
76.71,31.9172
76.81,31.8853
76.91,31.8536
77.01,31.8219
77.11,31.7903
77.21,31.7588
77.31,31.7274
77.41,31.696
77.51,31.6647
77.61,31.6335
77.71,31.6024
77.81,31.5713
77.91,31.5403
78.01,31.5094
78.11,31.4786
78.21,31.4478
78.31,31.4171
78.41,31.3865
78.51,31.356
78.61,31.3255
78.71,31.2951
78.81,31.2648
78.91,31.2345
79.01,31.2043
79.11,31.1742
79.21,31.1442
79.31,31.1142
79.41,31.0843
79.51,31.0545
79.61,31.0247
79.71,30.995
79.81,30.9654
79.91,30.9359
80.01,30.9064
80.11,30.877
80.21,30.8477
80.31,30.8184
80.41,30.7892
80.51,30.7601
80.61,30.731
80.71,30.702
80.81,30.6731
80.91,30.6442
81.01,30.6154
81.11,30.5867
81.21,30.558
81.31,30.5294
81.41,30.5009
81.51,30.4724
81.61,30.444
81.71,30.4157
81.81,30.3874
81.91,30.3592
82.01,30.331
82.11,30.303
82.21,30.275
82.31,30.247
82.41,30.2191
82.51,30.1913
82.61,30.1635
82.71,30.1358
82.81,30.1082
82.91,30.0806
83.01,30.0531
83.11,30.0257
83.21,29.9983
83.31,29.971
83.41,29.9437
83.51,29.9165
83.61,29.8894
83.71,29.8623
83.81,29.8353
83.91,29.8083
84.01,29.7814
84.11,29.7546
84.21,29.7278
84.31,29.7011
84.41,29.6744
84.51,29.6478
84.61,29.6213
84.71,29.5948
84.81,29.5684
84.91,29.542
85.01,29.5157
85.11,29.4895
85.21,29.4633
85.31,29.4371
85.41,29.411
85.51,29.385
85.61,29.3591
85.71,29.3332
85.81,29.3073
85.91,29.2815
86.01,29.2558
86.11,29.2301
86.21,29.2045
86.31,29.1789
86.41,29.1534
86.51,29.1279
86.61,29.1025
86.71,29.0772
86.81,29.0519
86.91,29.0267
87.01,29.0015
87.11,28.9763
87.21,28.9513
87.31,28.9263
87.41,28.9013
87.51,28.8764
87.61,28.8515
87.71,28.8267
87.81,28.8019
87.91,28.7772
88.01,28.7526
88.11,28.728
88.21,28.7035
88.31,28.679
88.41,28.6545
88.51,28.6301
88.61,28.6058
88.71,28.5815
88.81,28.5573
88.91,28.5331
89.01,28.509
