energy_MeV_per_u,water_macroscopic_cross_section_per_mm
3.5,0.0067813
3.51,0.00677926
3.52,0.00677722
3.53,0.00677515
3.54,0.00677308
3.55,0.00677098
3.56,0.00676888
3.57,0.00676676
3.58,0.00676462
3.59,0.00676247
3.6,0.00676031
3.61,0.00675813
3.62,0.00675595
3.63,0.00675375
3.64,0.00675153
3.65,0.00674931
3.66,0.00674707
3.67,0.00674482
3.68,0.00674257
3.69,0.00674029
3.7,0.00673801
3.71,0.00673572
3.72,0.00673342
3.73,0.00673111
3.74,0.00672878
3.75,0.00672645
3.76,0.00672411
3.77,0.00672176
3.78,0.0067194
3.79,0.00671703
3.8,0.00671465
3.81,0.00671226
3.82,0.00670987
3.83,0.00670746
3.84,0.00670505
3.85,0.00670263
3.86,0.0067002
3.87,0.00669777
3.88,0.00669532
3.89,0.00669287
3.9,0.00669042
3.91,0.00668795
3.92,0.00668548
3.93,0.00668301
3.94,0.00668052
3.95,0.00667803
3.96,0.00667554
3.97,0.00667304
3.98,0.00667053
3.99,0.00666802
4,0.0066655
4.01,0.00666297
4.02,0.00666044
4.03,0.00665791
4.04,0.00665537
4.05,0.00665283
4.06,0.00665028
4.07,0.00664772
4.08,0.00664517
4.09,0.0066426
4.1,0.00664004
4.11,0.00663747
4.12,0.00663489
4.13,0.00663231
4.14,0.00662973
4.15,0.00662715
4.16,0.00662456
4.17,0.00662196
4.18,0.00661937
4.19,0.00661677
4.2,0.00661416
4.21,0.00661156
4.22,0.00660895
4.23,0.00660634
4.24,0.00660373
4.25,0.00660111
4.26,0.00659849
4.27,0.00659587
4.28,0.00659324
4.29,0.00659062
4.3,0.00658799
4.31,0.00658536
4.32,0.00658273
4.33,0.00658009
4.34,0.00657746
4.35,0.00657482
4.36,0.00657218
4.37,0.00656954
4.38,0.0065669
4.39,0.00656425
4.4,0.00656161
4.41,0.00655896
4.42,0.00655631
4.43,0.00655366
4.44,0.00655101
4.45,0.00654836
4.46,0.00654571
4.47,0.00654306
4.48,0.00654041
4.49,0.00653775
4.5,0.0065351
4.51,0.00653244
4.52,0.00652979
4.53,0.00652713
4.54,0.00652447
4.55,0.00652182
4.56,0.00651916
4.57,0.0065165
4.58,0.00651385
4.59,0.00651119
4.6,0.00650853
4.61,0.00650587
4.62,0.00650322
4.63,0.00650056
4.64,0.0064979
4.65,0.00649524
4.66,0.00649259
4.67,0.00648993
4.68,0.00648728
4.69,0.00648462
4.7,0.00648197
4.71,0.00647931
4.72,0.00647666
4.73,0.006474
4.74,0.00647135
4.75,0.0064687
4.76,0.00646605
4.77,0.0064634
4.78,0.00646075
4.79,0.0064581
4.8,0.00645545
4.81,0.00645281
4.82,0.00645016
4.83,0.00644752
4.84,0.00644487
4.85,0.00644223
4.86,0.00643959
4.87,0.00643695
4.88,0.00643431
4.89,0.00643167
4.9,0.00642904
4.91,0.0064264
4.92,0.00642377
4.93,0.00642114
4.94,0.00641851
4.95,0.00641588
4.96,0.00641325
4.97,0.00641062
4.98,0.006408
4.99,0.00640538
5,0.00640276
5.01,0.00640014
5.02,0.00639752
5.03,0.0063949
5.04,0.00639229
5.05,0.00638968
5.06,0.00638707
5.07,0.00638446
5.08,0.00638185
5.09,0.00637924
5.1,0.00637664
5.11,0.00637404
5.12,0.00637144
5.13,0.00636884
5.14,0.00636625
5.15,0.00636365
5.16,0.00636106
5.17,0.00635847
5.18,0.00635589
5.19,0.0063533
5.2,0.00635072
5.21,0.00634814
5.22,0.00634556
5.23,0.00634298
5.24,0.00634041
5.25,0.00633784
5.26,0.00633527
5.27,0.0063327
5.28,0.00633013
5.29,0.00632757
5.3,0.00632501
5.31,0.00632245
5.32,0.0063199
5.33,0.00631734
5.34,0.00631479
5.35,0.00631224
5.36,0.0063097
5.37,0.00630716
5.38,0.00630461
5.39,0.00630208
5.4,0.00629954
5.41,0.00629701
5.42,0.00629447
5.43,0.00629195
5.44,0.00628942
5.45,0.0062869
5.46,0.00628438
5.47,0.00628186
5.48,0.00627934
5.49,0.00627683
5.5,0.00627432
5.51,0.00627181
5.52,0.00626931
5.53,0.0062668
5.54,0.0062643
5.55,0.00626181
5.56,0.00625931
5.57,0.00625682
5.58,0.00625433
5.59,0.00625185
5.6,0.00624936
5.61,0.00624688
5.62,0.0062444
5.63,0.00624193
5.64,0.00623946
5.65,0.00623699
5.66,0.00623452
5.67,0.00623206
5.68,0.0062296
5.69,0.00622714
5.7,0.00622468
5.71,0.00622223
5.72,0.00621978
5.73,0.00621733
5.74,0.00621489
