# TOPAS 4.2.p3 / Geant4 11.3.2 Water_75eV ion electronic stopping powers.
# delta_electron_fraction preserves the measured C-12 correction and uses each ion's G4 restricted/unrestricted ratio relative to C-12.
atomic_number,mass_number,energy_MeVu,stopping_power_MeV_per_mm,restricted_stopping_power_MeV_per_mm,nuclear_stopping_power_MeV_per_mm,raw_delta_electron_fraction,delta_electron_fraction
1,1,9.91,4.62685,4.62685,0,0,0.000147972232053
1,1,10.01,4.58948,4.58948,0,0,0.000147972232053
1,1,10.11,4.55277,4.55277,0,0,0.000147972232053
1,1,10.21,4.5167,4.5167,0,0,0.000147972232053
1,1,10.31,4.48126,4.48126,0,0,0.000147972232053
1,1,10.41,4.44643,4.44643,0,0,0.000147972232053
1,1,10.51,4.41219,4.41219,0,0,0.000147972232053
1,1,10.61,4.37849,4.37849,0,0,0.000147972232053
1,1,10.71,4.34534,4.34534,0,0,0.000147972232053
1,1,10.81,4.31274,4.31274,0,0,0.000147972232053
1,1,10.91,4.28067,4.28067,0,0,0.000147972232053
1,1,11.01,4.24913,4.24913,0,0,0.000147972232053
1,1,11.11,4.2181,4.2181,0,0,0.000147972232053
1,1,11.21,4.18756,4.18756,0,0,0.000147972232053
1,1,11.31,4.15751,4.15751,0,0,0.000147972232053
1,1,11.41,4.12793,4.12793,0,0,0.000147972232053
1,1,11.51,4.09881,4.09881,0,0,0.000147972232053
1,1,11.61,4.07014,4.07014,0,0,0.000147972232053
1,1,11.71,4.04192,4.04192,0,0,0.000147972232053
1,1,11.81,4.01412,4.01412,0,0,0.000147972232053
1,1,11.91,3.98674,3.98674,0,0,0.000147972232053
1,1,12.01,3.95978,3.95978,0,0,0.000148703485013
1,1,12.11,3.93321,3.93321,0,0,0.000156016014611
1,1,12.21,3.90703,3.90703,0,0,0.000163328544209
1,1,12.31,3.88124,3.88124,0,0,0.000170641073807
1,1,12.41,3.85582,3.85582,0,0,0.000177953603406
1,1,12.51,3.83077,3.83077,0,0,0.000185266133004
1,1,12.61,3.80608,3.80608,0,0,0.000192578662602
1,1,12.71,3.78173,3.78173,0,0,0.0001998911922
1,1,12.81,3.75773,3.75773,0,0,0.000207203721798
1,1,12.91,3.73406,3.73406,0,0,0.000214516251397
1,1,13.01,3.71072,3.71072,0,0,0.000222458488977
1,1,13.11,3.6877,3.6877,0,0,0.000236068098392
1,1,13.21,3.665,3.665,0,0,0.000249677707808
1,1,13.31,3.6426,3.6426,0,0,0.000263287317224
1,1,13.41,3.62051,3.62051,0,0,0.00027689692664
1,1,13.51,3.59871,3.59871,0,0,0.000290506536056
1,1,13.61,3.5772,3.5772,0,0,0.000304116145472
1,1,13.71,3.55597,3.55597,0,0,0.000317725754888
1,1,13.81,3.53502,3.53502,0,0,0.000331335364304
1,1,13.91,3.51434,3.51434,0,0,0.00034494497372
1,1,14.01,3.49393,3.49393,0,0,0.000358554583136
1,1,14.11,3.47378,3.47378,0,0,0.000372164192551
1,1,14.21,3.45388,3.45388,0,0,0.000385773801967
1,1,14.31,3.43424,3.43424,0,0,0.000399383411383
1,1,14.41,3.41484,3.41484,0,0,0.000412993020799
1,1,14.51,3.39569,3.39569,0,0,0.000426602630215
1,1,14.61,3.37677,3.37677,0,0,0.000440212239631
1,1,14.71,3.35808,3.35808,0,0,0.000453821849047
1,1,14.81,3.33962,3.33962,0,0,0.000467431458463
1,1,14.91,3.32139,3.32139,0,0,0.000481041067879
1,1,15.01,3.30338,3.30338,0,0,0.000494650677295
1,1,15.11,3.28558,3.28558,0,0,0.00050826028671
1,1,15.21,3.26799,3.26799,0,0,0.000521869896126
1,1,15.31,3.25059,3.25059,0,0,0.000535479505542
1,1,15.41,3.2334,3.2334,0,0,0.000549089114958
1,1,15.51,3.21641,3.21641,0,0,0.000562698724374
1,1,15.61,3.19961,3.19961,0,0,0.00057630833379
1,1,15.71,3.18301,3.18301,0,0,0.000589917943206
1,1,15.81,3.1666,3.1666,0,0,0.000603527552622
1,1,15.91,3.15037,3.15037,0,0,0.000617137162038
1,1,16.01,3.13433,3.13433,0,0,0.000630825468387
1,1,16.11,3.11847,3.11847,0,0,0.000645222047138
1,1,16.21,3.10279,3.10279,0,0,0.000659618625888
1,1,16.31,3.08728,3.08728,0,0,0.000674015204639
1,1,16.41,3.07194,3.07194,0,0,0.000688411783389
1,1,16.51,3.05677,3.05677,0,0,0.00070280836214
1,1,16.61,3.04176,3.04176,0,0,0.00071720494089
1,1,16.71,3.02692,3.02692,0,0,0.000731601519641
1,1,16.81,3.01224,3.01224,0,0,0.000745998098391
1,1,16.91,2.99771,2.99771,0,0,0.000760394677142
1,1,17.01,2.98334,2.98334,0,0,0.000776111583329
1,1,17.11,2.96912,2.96912,0,0,0.000803711436445
1,1,17.21,2.95505,2.95505,0,0,0.000831311289561
1,1,17.31,2.94113,2.94113,0,0,0.000858911142678
1,1,17.41,2.92736,2.92736,0,0,0.000886510995794
1,1,17.51,2.91372,2.91372,0,0,0.00091411084891
1,1,17.61,2.90023,2.90023,0,0,0.000941710702026
1,1,17.71,2.88687,2.88687,0,0,0.000969310555143
1,1,17.81,2.87366,2.87366,0,0,0.000996910408259
1,1,17.91,2.86057,2.86057,0,0,0.00102451026138
1,1,18.01,2.84762,2.84762,0,0,0.00105211011449
1,1,18.11,2.83479,2.83479,0,0,0.00107970996761
1,1,18.21,2.8221,2.8221,0,0,0.00110730982072
1,1,18.31,2.80953,2.80953,0,0,0.00113490967384
1,1,18.41,2.79708,2.79708,0,0,0.00116250952696
