energy_MeV_per_u,section_00_mass_xs_per_mm_at_1g_cm3,section_01_mass_xs_per_mm_at_1g_cm3,section_02_mass_xs_per_mm_at_1g_cm3,section_03_mass_xs_per_mm_at_1g_cm3,section_04_mass_xs_per_mm_at_1g_cm3,section_05_mass_xs_per_mm_at_1g_cm3,section_06_mass_xs_per_mm_at_1g_cm3,section_07_mass_xs_per_mm_at_1g_cm3,section_08_mass_xs_per_mm_at_1g_cm3,section_09_mass_xs_per_mm_at_1g_cm3,section_10_mass_xs_per_mm_at_1g_cm3,section_11_mass_xs_per_mm_at_1g_cm3,section_12_mass_xs_per_mm_at_1g_cm3,section_13_mass_xs_per_mm_at_1g_cm3,section_14_mass_xs_per_mm_at_1g_cm3,section_15_mass_xs_per_mm_at_1g_cm3,section_16_mass_xs_per_mm_at_1g_cm3,section_17_mass_xs_per_mm_at_1g_cm3,section_18_mass_xs_per_mm_at_1g_cm3,section_19_mass_xs_per_mm_at_1g_cm3,section_20_mass_xs_per_mm_at_1g_cm3,section_21_mass_xs_per_mm_at_1g_cm3,section_22_mass_xs_per_mm_at_1g_cm3,section_23_mass_xs_per_mm_at_1g_cm3,section_24_mass_xs_per_mm_at_1g_cm3
203,0.003729526841,0.004687695432,0.005129646492,0.005039566437,0.004948916162,0.00487662414,0.004817343798,0.004704445096,0.004650853084,0.004718593657,0.004607428611,0.004485286496,0.004376381068,0.004285490778,0.004194886878,0.00410765374,0.00402016837,0.003949923222,0.003890655144,0.003821451718,0.003766874481,0.003712818106,0.00365928259,0.003622735066,0.002257358723
203.5,0.003728521527,0.004686048937,0.005127793255,0.005037756304,0.004947149243,0.004874890792,0.004815638836,0.004702792092,0.004649244123,0.004716952983,0.004605845825,0.004483768471,0.004374920107,0.004284077424,0.004193521018,0.004106334128,0.004018895092,0.003948687125,0.003889449355,0.0038202827,0.003765734051,0.003711706059,0.003658198722,0.003621670308,0.002256874819
204,0.003727524068,0.004684415463,0.005125954667,0.005035960481,0.004945396294,0.004873171149,0.004813947354,0.00470115216,0.004647647876,0.004715325272,0.004604275542,0.004482262433,0.00437347068,0.004282675226,0.004192165936,0.004105024927,0.004017631856,0.003947460775,0.003888253072,0.003819122896,0.003764602608,0.003710602773,0.00365712339,0.003620613935,0.002256394742
204.5,0.003726534397,0.004682794896,0.005124130601,0.005034178843,0.004943657191,0.004871465091,0.004812269235,0.004699525185,0.004646064232,0.00471371041,0.004602717652,0.004480768278,0.004372032686,0.004281284086,0.004190821538,0.004103726046,0.004016378575,0.003946244086,0.003887066212,0.003817972225,0.003763480073,0.003709508172,0.003656056522,0.003619565874,0.00225591846
205,0.003725552449,0.004681187123,0.005122320929,0.005032411264,0.004941931812,0.004869772497,0.004810604361,0.004697911053,0.004644493078,0.004712108285,0.004601172047,0.004479285903,0.004370606026,0.004279903908,0.004189487732,0.004102437395,0.004015135163,0.003945036976,0.003885888694,0.003816830609,0.003762366369,0.00370842218,0.003654998042,0.003618526054,0.002255445939
205.5,0.003724578157,0.004679592031,0.005120525524,0.005030657621,0.004940220038,0.004868093251,0.004808952615,0.004696309652,0.004642934308,0.004710518785,0.004599638619,0.004477815203,0.004369190601,0.004278534597,0.004188164424,0.004101158885,0.004013901533,0.003943839359,0.003884720437,0.003815697968,0.00376126142,0.003707344724,0.00365394788,0.003617494403,0.002254977148
206,0.003723611456,0.00467800951,0.005118744262,0.005028917793,0.004938521749,0.004866427234,0.004807313884,0.00469472087,0.004641387811,0.004708941799,0.004598117262,0.004476356078,0.004367786312,0.004277176058,0.004186851525,0.004099890427,0.0040126776,0.003942651155,0.003883561359,0.003814574225,0.003760165149,0.003706275729,0.003652905964,0.003616470851,0.002254512056
206.5,0.003722652281,0.004676439449,0.005116977019,0.005027191658,0.004936836827,0.004864774332,0.004805688052,0.004693144597,0.00463985348,0.004707377218,0.004596607871,0.004474908425,0.004366393063,0.004275828196,0.004185548942,0.004098631935,0.00401146328,0.003941472282,0.003882411382,0.003813459304,0.003759077483,0.003705215122,0.003651872221,0.003615455327,0.002254050631
207,0.003721700569,0.004674881739,0.005115223671,0.005025479096,0.004935165155,0.004863134428,0.004804075007,0.004691580722,0.00463833121,0.004705824934,0.004595110341,0.004473472146,0.004365010758,0.004274490919,0.004184256586,0.004097383322,0.00401025849,0.003940302658,0.003881270427,0.003812353127,0.003757998345,0.00370416283,0.003650846581,0.003614447763,0.002253592842
207.5,0.003720756255,0.004673336271,0.005113484098,0.005023779989,0.004933506617,0.004861507411,0.004802474637,0.004690029138,0.004636820895,0.00470428484,0.004593624568,0.00447204714,0.0043636393,0.004273164135,0.004182974369,0.004096144502,0.004009063147,0.003939142203,0.003880138415,0.003811255618,0.003756927663,0.003703118782,0.003649828974,0.00361344809,0.002253138657
208,0.003719819278,0.00467180294,0.005111758178,0.005022094218,0.004931861099,0.004859893166,0.004800886831,0.004688489738,0.00463532243,0.004702756828,0.004592150451,0.004470633311,0.004362278596,0.004271847753,0.004181702202,0.00409491539,0.004007877169,0.003937990838,0.003879015269,0.003810166704,0.003755865364,0.003702082907,0.003648819332,0.003612456239,0.002252688047
208.5,0.003718889573,0.004670281639,0.005110045793,0.005020421668,0.004930228485,0.004858291582,0.00479931148,0.004686962414,0.004633835713,0.004701240794,0.004590687886,0.004469230559,0.004360928552,0.004270541681,0.004180439998,0.004093695901,0.004006700474,0.003936848484,0.003877900913,0.003809086309,0.003754811374,0.003701055133,0.003647817584,0.003611472143,0.002252240981
209,0.00371796708,0.004668772263,0.005108346823,0.005018762222,0.004928608665,0.00485670255,0.004797748474,0.004685447062,0.004632360641,0.004699736634,0.004589236775,0.00446783879,0.004359589076,0.004269245831,0.004179187671,0.004092485953,0.004005532983,0.003935715064,0.00387679527,0.003808014359,0.003753765623,0.003700035391,0.003646823664,0.003610495736,0.002251797429
209.5,0.003717051738,0.004667274708,0.005106661153,0.005017115767,0.004927001525,0.004855125958,0.004796197707,0.004683943576,0.004630897112,0.004698244243,0.004587797016,0.004466457907,0.004358260075,0.004267960114,0.004177945134,0.004091285462,0.004004374616,0.003934590499,0.003875698264,0.003806950783,0.003752728039,0.003699023612,0.003645837504,0.00360952695,0.002251357361
