energy_MeVu,total_kinetic_energy_MeV,electronic_stopping_power_MeV_per_mm,total_stopping_power_MeV_per_mm,csda_range_mm
1,12,1243.03,1244.19,0
2,24,826.718,827.355,0
3,36,650.443,650.888,0
4,48,538.375,538.719,0
5,60,461.546,461.829,0
6,72,404.947,405.189,0
7,84,361.438,361.649,0
8,96,326.949,327.136,0
9,108,298.873,299.041,0
10,120,275.557,275.708,0
11,132,255.864,256.003,0
12,144,239.004,239.134,0
13,156,224.405,224.525,0
14,168,211.631,211.744,0
15,180,200.357,200.463,0
16,192,190.316,190.416,0
17,204,181.324,181.418,0
18,216,173.221,173.31,0
19,228,165.88,165.965,0
20,240,159.195,159.275,0
21,252,153.081,153.158,0
22,264,147.473,147.546,0
23,276,142.304,142.375,0
24,288,137.524,137.592,0
25,300,133.087,133.152,0
26,312,128.959,129.022,0
27,324,125.109,125.169,0
28,336,121.508,121.567,0
29,348,118.134,118.191,0
30,360,114.964,115.019,0
31,372,111.981,112.034,0
32,384,109.168,109.22,0
33,396,106.51,106.56,0
34,408,103.993,104.042,0
35,420,101.608,101.656,0
36,432,99.3446,99.3446,0
37,444,97.1925,97.1925,0
38,456,95.144,95.144,0
39,468,93.1916,93.1916,0
40,480,91.3286,91.3286,0
41,492,89.5488,89.5488,0
42,504,87.8468,87.8468,0
43,516,86.2174,86.2174,0
44,528,84.6562,84.6562,0
45,540,83.1589,83.1589,0
46,552,81.7216,81.7216,0
47,564,80.3409,80.3409,0
48,576,79.015,79.015,0
49,588,77.739,77.739,0
50,600,76.5102,76.5102,0
51,612,75.3259,75.3259,0
52,624,74.1838,74.1838,0
53,636,73.0815,73.0815,0
54,648,72.017,72.017,0
55,660,70.9883,70.9883,0
56,672,69.9936,69.9936,0
57,684,69.0312,69.0312,0
58,696,68.0996,68.0996,0
59,708,67.1972,67.1972,0
60,720,66.3226,66.3226,0
61,732,65.4747,65.4747,0
62,744,64.6521,64.6521,0
63,756,63.8537,63.8537,0
64,768,63.0784,63.0784,0
