energy_MeVu,full_dedx,corrected_restricted_dedx,table_dedx,range_mm,lambda_per_mm,charge_square,correction_per_mm,ion_dispersion_per_mm,universal_dispersion_per_mm
9.9999999999999995e-07,1.9286720591338422,1.9286720591338422,2.6709388501907765,8.9856044432787214e-06,0,4.8966992518273011,-0.62620706375632595,0.010807213407922647,0.042646710101444274
1.0000000000000001e-05,6.3547494362539112,6.3547494362539112,8.4462502576341105,2.8414976194090033e-05,0,4.8966992518273011,-1.9777781356805617,0.010808888034313954,0.04264671051356779
0.0001,20.34454510072856,20.34454510072856,26.705731252777198,8.9843848189279324e-05,0,4.8966992518273011,-6.2481643544014709,0.010825637756573088,0.04264671463480272
0.001,64.582164460190725,64.582164460190725,84.462504174995686,0.00028415228805581659,0,4.8966992518273011,-19.767536223001599,0.010993480928501217,0.042646755847174249
0.002,91.380198579069841,91.380198579069841,119.44802069054877,0.00040185094967422526,0,4.8966992518273011,-27.955048041275532,0.01118071153500918,0.042646801638744875
0.0050000000000000001,144.55100533090265,144.55100533090265,188.86389252910848,0.00063538061451911534,0,4.8966992518273011,-44.200139209172448,0.011747072734529809,0.042646939013751724
0.0080000000000000002,182.87434512916889,182.87434512916889,238.88831557594079,0.0008036995335448827,0,4.8966992518273029,-55.90123181428018,0.01232045206934646,0.042647076389201136
0.0089999999999999993,193.97444414580031,193.97444414580031,253.42908118448975,0.00085245182666380192,0,4.8966992518273127,-59.341900657243286,0.012513140958073484,0.042647122181116055
0.01,204.4731809648693,204.4731809648693,267.02058458226071,0.00089854968325864715,0,4.8966992518273367,-62.43467079066366,0.012706611991912465,0.042647167973080234
0.02,289.2125508830992,289.2125508830992,388.90052546295891,0.0011667739782225614,0,5.3840988844945183,-99.57191407388035,0.017329275649445704,0.04689261545401302
0.029999999999999999,355.42794318794097,355.42794318794097,504.48266754370701,0.001289877627074111,0,6.063091477808694,-148.92114919533458,0.02391711478217419,0.052806844013075879
0.040000000000000001,412.64313666928285,412.64313666928285,597.12359162066241,0.0013907285519460127,0,6.6157994822110986,-184.35622124471269,0.030630613706607551,0.057621304872580013
0.050000000000000003,462.73803388799718,462.73803388799718,675.33318274786723,0.0014707687337606591,0,7.1367436829510282,-212.47420033402278,0.037944497844927719,0.062159214499883285
0.059999999999999998,506.14309654625953,506.14309654625953,740.60791934015447,0.0015395961447742244,0,7.6297751273146623,-234.33218401057889,0.045831040755599829,0.066454105983265344
0.070000000000000007,544.1290741986237,544.1290741986237,794.42508542009239,0.0016021949830110661,0,8.0984216593136154,-250.17698536200612,0.054271711815863113,0.070536698773021808
0.080000000000000002,579.50183175425275,579.50183175425275,838.23697603964126,0.0016614059918445821,0,8.5455719572167155,-258.63126175584455,0.06325164727911238,0.074432146489330761
0.089999999999999997,609.54102005615061,609.54102005615061,873.42222786767502,0.0017189451537138348,0,8.9735928576154915,-263.77296479982169,0.072757816671623718,0.078161058529934366
0.10000000000000001,638.71428135719805,638.71428135719805,901.24606807902967,0.0017759089061702875,0,9.384377210043251,-262.44736614975147,0.082777019401732418,0.081739916650028124
0.11,661.42034899638315,661.42034899638315,922.85010671833118,0.0018330110246610712,0,9.7795265070416377,-261.34331349998649,0.09329608458573295,0.08518266550434582
0.12,684.12691003088514,684.12691003088514,939.24086649043682,0.0018907310658946338,0,10.16038073847322,-255.02597705037067,0.10430082949961,0.088500972553911497
0.13,702.8420242925597,702.8420242925597,951.2899929579919,0.0019493934758766276,0,10.528084131985187,-248.38681862156386,0.11577577640997191,0.09170480057559989
0.14000000000000001,718.42482481149489,718.42482481149489,959.74934541084087,0.0020092188329582108,0,10.883631036154458,-241.26282665373333,0.12770392203831496,0.094802807239697653
0.14999999999999999,734.00781681307319,734.00781681307319,965.26419869205711,0.0020703619752000025,0,11.227869095910602,-231.1943336023885,0.14006603422337657,0.097802372699916332
0.16,747.44261640760897,747.44261640760897,968.36604649986725,0.0021329201218363092,0,11.561557087660997,-220.88640189103114,0.15284100464239248,0.1007101033134631
0.17000000000000001,756.71235178553809,756.71235178553809,969.51692917594733,0.0021969598187002309,0,11.885364787670735,-212.76750525074578,0.16600542645593502,0.10353183045296338
0.17999999999999999,765.98214806045803,765.98214806045803,969.08769203395593,0.0022625174666025837,0,12.199888040129078,-203.06848818208232,0.17953351623692532,0.10627274172217749
0.19,775.25199307753428,775.25199307753428,967.39993456797185,0.0023296119274079665,0,12.505672033366762,-192.11095030333399,0.19339733072038226,0.10893758368181565
0.20000000000000001,782.98067039509931,782.98067039509931,964.7051019650836,0.0023982467275185421,0,12.803194772893079,-181.70894027324243,0.20756627564676672,0.11153051785704246
0.20999999999999999,786.87359190135408,786.87359190135408,961.22547110674543,0.002468418182193483,0,13.092897949812382,-174.33644381950046,0.22200765604991876,0.11405538960827845
0.22,790.76652336690483,790.76652336690483,957.12787937349356,0.0025401089575672001,0,13.375184256724879,-166.34598639061005,0.23668663897439887,0.11651570473213475
0.23000000000000001,794.65946247024146,794.65946247024146,952.56169337815231,0.0026133024508656778,0,13.650421454814618,-157.88693462362289,0.25156641322479961,0.11891466487332354
0.23999999999999999,798.55240732055358,798.55240732055358,947.64126391006744,0.002687973274394107,0,13.918948290610473,-149.07363932643273,0.26660846081789114,0.12125521905231529
0.25,801.6917347010168,801.6917347010168,942.4592837729308,0.0027640939439584791,0,14.181079444720545,-140.76838336706317,0.28177287358886705,0.12354010676324288
0.26000000000000001,801.4771281708588,801.4771281708588,937.09572865893256,0.0028416391150631703,0,14.437100569331303,-135.61943003484112,0.2970184618179571,0.1257718147307868
0.27000000000000002,801.26252153168809,801.26252153168809,931.61005589038109,0.0029205770755765647,0,14.6872804931693,-130.34835904915803,0.31230334765055751,0.12795268322381459
0.28000000000000003,801.04791482751148,801.04791482751148,926.05081460564463,0.0030008779871068649,0,14.931868639064087,-125.00371954794764,0.32758521712510519,0.13008488354959238
0.28999999999999998,800.83330809333563,800.83330809333563,920.458264134724,0.0030825137010636397,0,15.171097034910678,-119.62577086085082,0.34282171042323234,0.13217043556419464
0.29999999999999999,800.61870135690128,800.61870135690128,914.86372074270889,0.0031654529484388448,0,15.405183603781206,-114.24582925267748,0.35797086751734847,0.1342112363280962
0.31,800.40409463994183,800.40409463994183,909.29115757462716,0.0032496660417183857,0,15.634331858517097,-108.88786786824085,0.37299147610025807,0.13620905743881012
0.32000000000000001,798.80952354181659,798.80952354181659,903.75823248358301,0.0033351258754460429,0,15.858731344666959,-104.95628676608499,0.387843431798925,0.13816554888314467
0.33000000000000002,796.77680124438564,796.77680124438564,898.28013563291177,0.0034218047078231847,0,16.078561545297614,-101.51086628700091,0.40248819410244596,0.14008227305080517
0.34000000000000002,794.74407950524119,794.74407950524119,892.86916410811966,0.0035096750783267724,0,16.293991031804545,-98.132571128110953,0.41688907571433387,0.14196069733116204
0.35000000000000003,792.7113583919828,792.7113583919828,887.53261671253642,0.0035987114487416355,0,16.505178397492347,-94.828700092126155,0.43101155539165992,0.14380220224201523
0.35999999999999999,790.67863795303026,790.67863795303026,882.27389493287728,0.0036888896187690381,0,16.712274275002493,-91.602654665474461,0.44482359293395723,0.14560809900205929
0.37,788.64591822062596,788.64591822062596,877.09820290612492,0.003780186027083068,0,16.915420058413197,-88.459638984697108,0.45829579392757397,0.14737961839315214
0.38,786.61319921443567,786.61319921443567,872.00981923734855,0.0038725780440971237,0,17.114749385777614,-85.403931654501434,0.47140162134871832,0.14911792367310084
0.39000000000000001,784.58048094445996,784.58048094445996,867.00951614363805,0.0039660441859808351,0,17.310389423149278,-82.436304891911277,0.48411755741216406,0.15082412175965154
0.40000000000000002,782.26242338903603,782.26242338903603,862.09489019724742,0.0040605641655670757,0,17.502460582646016,-79.841207321455954,0.49642316448429707,0.15249926077094947
0.41000000000000003,779.80451025180344,779.80451025180344,857.2652577197382,0.0041561188220369518,0,17.691077019414273,-77.469439032832838,0.50830112661785165,0.15414433435248667
0.41999999999999998,777.34659799221106,777.34659799221106,852.52227922621648,0.0042526898085706345,0,17.876347953578879,-75.184324719323058,0.51973727828887073,0.15576029319259582
0.42999999999999999,774.88868659526588,774.88868659526588,847.86534461868484,0.0043502598502589262,0,18.058376362307328,-72.985254282991377,0.53072049602285865,0.15734803362370847
0.44,772.43077604289419,772.43077604289419,843.29152564558524,0.0044488123897543199,0,18.237260515871561,-70.869299472579883,0.54124265696151086,0.15890841100374448
0.45000000000000001,769.97286631481745,769.97286631481745,838.79613562741827,0.0045483315746528358,0,18.413094289582638,-68.831773609068932,0.55129852110030653,0.16044224243194999
0.46000000000000002,767.51495738909341,767.51495738909341,834.37763899667846,0.0046488028779396208,0,18.585967104232303,-66.871141125110512,0.56088557161410491,0.1619503062278751
0.47000000000000003,765.05704924269912,765.05704924269912,830.03611286237106,0.00475021278131339,0,18.755964216620992,-64.987479129701796,0.57000384569169305,0.16343334446085711
