table,index,x0,x1,y0,y_third,y_twothirds,y1,spline
0,0,9.9999999999999991e-05,0.00011220184543019634,5.4340874255461884,5.5407964847488875,5.6482803973807947,5.7560773484488639,1
0,1,0.00011220184543019634,0.00012589254117941672,5.7560773484488639,5.8708240968268663,5.9847312156003838,6.0971463737530707,1
0,2,0.00012589254117941672,0.00014125375446227543,6.0971463737530707,6.2199696150306982,6.3403202084410379,6.4584250093491384,1
0,3,0.00014125375446227543,0.00015848931924611134,6.4584250093491384,6.5884055928640297,6.7159367510715731,6.8411107499312411,1
0,4,0.00015848931924611134,0.00017782794100389227,6.8411107499312411,6.9788650081410539,7.1139310638040474,7.2464720462150645,1
0,5,0.00017782794100389227,0.00019952623149688798,7.2464720462150645,7.3923681266943158,7.5354438847797462,7.6758525093463978,1
0,6,0.00019952623149688798,0.00022387211385683397,7.6758525093463978,7.8304002076850132,7.9819516288432606,8.1306753644366125,1
0,7,0.00022387211385683397,0.00025118864315095801,8.1306753644366125,8.2943784630066002,8.4549105383002949,8.6124481679866935,1
0,8,0.00025118864315095801,0.00028183829312644545,8.6124481679866935,8.7858519619046653,8.9558959482078855,9.122767804836224,1
0,9,0.00028183829312644545,0.00031622776601683794,9.122767804836224,9.3064462044149767,9.4865659978682917,9.6633257812002071,1
0,10,0.00031622776601683794,0.00035481338923357554,9.6633257812002071,9.8578878785602484,10.048680419292335,10.235913831338056,1
0,11,0.00035481338923357554,0.0003981071705534973,10.235913831338056,10.442004436013486,10.64410215234145,10.842429856438569,1
0,12,0.0003981071705534973,0.00044668359215096316,10.842429856438569,11.060732104072448,11.274804860774459,11.484884215406012,1
0,13,0.00044668359215096316,0.00050118723362727231,11.484884215406012,11.716121682231265,11.942879047916003,12.165406388398663,1
0,14,0.00050118723362727231,0.00056234132519034921,12.165406388398663,12.410345537231713,12.650539121325615,12.886252035206873,1
0,15,0.00056234132519034921,0.00063095734448019342,12.886252035206873,13.145704740828227,13.400130689613,13.649810471866303,1
0,16,0.00063095734448019342,0.00070794578438413802,13.649810471866303,13.92463671687355,14.194138350883454,14.458612590288345,1
0,17,0.00070794578438413802,0.00079432823472428164,14.458612590288345,14.749723314066349,15.03519392383974,15.315339247158178,1
0,18,0.00079432823472428164,0.00089125093813374572,15.315339247158178,15.623699365766209,15.926085172595071,16.222830149906237,1
0,19,0.00089125093813374572,0.001,16.222830149906237,16.54946175423564,16.86976504656057,17.184093269206617,1
0,20,0.001,0.0011220184543019641,17.184093269206617,17.530079012853882,17.869361468435379,18.202314809201091,1
0,21,0.0011220184543019641,0.0012589254117941679,18.202314809201091,18.568801497017517,18.928187701979617,19.28086976849599,1
0,22,0.0012589254117941679,0.001412537544622755,19.28086976849599,19.669072157793241,20.049753334176518,20.42333312693755,1
0,23,0.001412537544622755,0.0015848931924611143,20.42333312693755,20.83453795392451,21.237775908113949,21.633491695245322,1
0,24,0.0015848931924611143,0.0017782794100389234,21.633491695245322,22.069061940037045,22.496193245142535,22.91535666678055,1
0,25,0.0017782794100389234,0.0019952623149688802,22.91535666678055,23.376736071175266,23.829176497259368,24.273176913053515,1
0,26,0.0019952623149688802,0.0022387211385683403,24.273176913053515,24.761894765777804,25.241143972478078,25.711453067039301,1
0,27,0.0022387211385683403,0.0025118864315095807,25.711453067039301,26.229129273546523,26.73677578125476,27.234952440982411,1
0,28,0.0025118864315095807,0.0028183829312644561,27.234952440982411,27.783302889168262,28.321029342541728,28.848724828136923,1
0,29,0.0028183829312644561,0.0031622776601683816,28.848724828136923,29.429567091935482,29.999155845196082,30.558119240818581,1
0,30,0.0031622776601683816,0.0035481338923357567,30.558119240818581,31.17337853313537,31.776717522299169,32.368801640248861,1
0,31,0.0035481338923357567,0.0039810717055349751,32.368801640248861,33.020517512468224,33.659606671150371,34.286773716958344,1
0,32,0.0039810717055349751,0.004466835921509634,34.286773716958344,34.977105405177845,35.654062591197921,36.318392783998888,1
0,33,0.004466835921509634,0.0050118723362727255,36.318392783998888,37.049632650197324,37.766703786826106,38.470392848902783,1
0,34,0.0050118723362727255,0.0056234132519034962,38.470392848902783,39.244946052158639,40.004498700874365,40.749906934234026,1
0,35,0.0056234132519034962,0.0063095734448019355,40.749906934234026,41.570423511723099,42.3750163655777,43.164490720715207,1
0,36,0.0063095734448019355,0.0070794578438413856,43.164490720715207,44.033322827102729,44.885440235317226,45.722147591298118,1
0,37,0.0070794578438413856,0.007943282347242819,45.722147591298118,46.643808379409606,47.547086054803174,48.431355159188328,1
0,38,0.007943282347242819,0.0089125093813374624,48.431355159188328,49.401641028663661,50.355467603568954,51.301093367754547,1
0,39,0.0089125093813374624,0.010000000000000004,51.301093367754547,52.355477648517827,53.379037092177896,54.340874255461905,1
0,40,0.010000000000000004,0.011220184543019643,54.340874255461905,55.321868481487243,56.223932043662359,57.084735601872026,1
0,41,0.011220184543019643,0.012589254117941687,57.084735601872026,58.037888376889406,58.978319474389032,59.897825933327987,1
0,42,0.012589254117941687,0.014125375446227552,59.897825933327987,60.897120929611013,61.864146798751278,62.803303888931531,1
0,43,0.014125375446227552,0.015848931924611152,62.803303888931531,63.82837802366393,64.824410763670059,65.791905718104118,1
0,44,0.015848931924611152,0.01778279410038924,65.791905718104118,66.844295619352835,67.863257291002981,68.850655440547229,1
0,45,0.01778279410038924,0.019952623149688816,68.850655440547229,69.923092090725135,70.959712244030086,71.962087996005849,1
0,46,0.019952623149688816,0.022387211385683409,71.962087996005849,73.047887364097718,74.09438309192069,75.103403535220949,1
0,47,0.022387211385683409,0.025118864315095826,75.103403535220949,76.193088030606035,77.23983678304252,78.245590874071056,1
0,48,0.025118864315095826,0.02818382931264455,78.245590874071056,79.327567064008278,80.362518019322764,81.352584049508266,1
0,49,0.02818382931264455,0.031622776601683819,81.352584049508266,82.41256411144802,83.421097179077677,84.380548540927649,1
0,50,0.031622776601683819,0.0354813389233576,84.380548540927649,85.401455414716651,86.366199641079547,87.277431057413338,1
0,51,0.0354813389233576,0.039810717055349755,87.277431057413338,88.239302869168455,89.140140885650851,89.982944000353811,1
0,52,0.039810717055349755,0.044668359215096369,89.982944000353811,90.863075983981005,91.677347504609017,92.42918432863388,1
0,53,0.044668359215096369,0.050118723362727262,92.42918432863388,93.202526187555591,93.905517235550008,94.542094503450429,1
0,54,0.050118723362727262,0.056234132519034981,94.542094503450429,95.181988348378738,95.747761362574082,96.243946282594223,1
0,55,0.056234132519034981,0.063095734448019372,96.243946282594223,96.723247500622165,97.125849639980558,97.456953464877827,1
0,56,0.063095734448019372,0.070794578438413872,97.456953464877827,97.749545616108776,97.96458698327649,98.107990453070585,1
0,57,0.070794578438413872,0.079432823472428263,98.107990453070585,98.190645850595075,98.19717976110239,98.134213583715919,1
0,58,0.079432823472428263,0.089125093813374648,98.134213583715919,97.988680527178715,97.771246047429273,97.48916830040865,1
0,59,0.089125093813374648,0.10000000000000014,97.48916830040865,97.104288678418186,96.654902347193413,96.148746172412132,1
0,60,0.10000000000000014,0.11220184543019644,96.148746172412132,95.522337014997376,94.842158674226397,94.116170828610421,1
0,61,0.11220184543019644,0.12589254117941689,94.116170828610421,93.256356249829636,92.356720494147737,91.425092492867194,1
0,62,0.12589254117941689,0.14125375446227556,91.425092492867194,90.350769640869743,89.253291416646775,88.139922258373318,1
0,63,0.14125375446227556,0.15848931924611154,88.139922258373318,86.880110923590877,85.615664358456641,84.352807447491131,1
0,64,0.15848931924611154,0.17782794100389243,84.352807447491131,82.94478568398992,81.551330317727277,80.177169824604377,1
