depth_mm,ROI,gpu,topas,gpu_SE,topas_SE,difference_percent,CI95_low_percent,CI95_high_percent
6.125,peak,3.243549190301564e-10,3.219036852897261e-10,5.739731969438308e-13,6.699610545155274e-13,0.7614804838981915,0.08368517364928324,1.4392757941470997
6.375,peak,3.2371123324992367e-10,3.206938208677456e-10,4.764787643177552e-13,9.791491047850092e-13,0.9409013164062285,0.018317332586525494,1.8634853002259317
6.625,peak,3.2339493827748813e-10,3.2007673553380294e-10,4.905965415351335e-13,6.416572343747589e-13,1.036689760707321,0.4038636216464411,1.6695158997682011
6.875,peak,3.229581898267497e-10,3.199141065124422e-10,4.442003118066853e-13,6.57013813334031e-13,0.9515314430778687,0.318854321780197,1.5842085643755406
7.125,peak,3.2271408144879386e-10,3.189138078596443e-10,6.580626488743745e-13,7.66768026876715e-13,1.1916303074660517,0.4059549627355637,1.9773056521965398
7.375,peak,3.2217087209573946e-10,3.179620830451313e-10,5.863401795312831e-13,9.10721994477273e-13,1.3236763988650813,0.4441090944123663,2.203243703317796
7.625,peak,3.216883442291873e-10,3.1762316439198913e-10,6.825325056537656e-13,1.0164309277628443e-12,1.2798751139514453,0.292264800526291,2.2674854273765996
7.875,peak,3.2160917498913476e-10,3.1762768799126205e-10,6.500692684450253e-13,1.0030578411457979e-12,1.2535075336323365,0.28359419129040664,2.2234208759742664
8.125,peak,3.2054815847004645e-10,3.1697603390057335e-10,3.430113181051742e-13,1.0416315330462083e-12,1.126938376228659,0.11620311936218312,2.1376736330951345
8.375,peak,3.2018398428590443e-10,3.1691584808868354e-10,8.85916120465657e-14,7.607739558197049e-13,1.031231545197553,0.26553089265234553,1.7969321977427601
8.625,peak,3.1969407132237393e-10,3.164092004226405e-10,4.359557222100745e-13,5.994728065587137e-13,1.0381717394265744,0.44665162951687926,1.6296918493362695
8.875,peak,3.1936810842125855e-10,3.1592998652740787e-10,6.009617411037829e-13,6.756123535609307e-13,1.0882543729518357,0.3808906266443123,1.7956181192593592
9.125,peak,3.191458324636187e-10,3.1558758905703143e-10,6.152076278702372e-13,8.856856735230625e-13,1.1274978896411048,0.25798085173131746,1.9970149275508922
9.375,peak,3.188479115578957e-10,3.154611738409585e-10,5.945697397445354e-13,8.378723501146452e-13,1.0735830580040462,0.2479816889188734,1.899184427089219
9.625,peak,3.1815042120797444e-10,3.142469279282522e-10,3.0910950924449883e-13,1.2311094095777885e-12,1.2421738870947552,0.018419114559841722,2.465928659629669
9.875,peak,3.178983513407729e-10,3.143071182876156e-10,4.236690924582585e-13,1.1655484868499826e-12,1.1425872480148813,0.007889721651639647,2.277284774378123
10.125,peak,3.1692738843958066e-10,3.136726263619494e-10,5.896349098552054e-13,1.061037549775431e-12,1.0376302565451079,0.012756613376482297,2.0625038997137337
10.375,peak,3.1712426107333156e-10,3.133061693461059e-10,7.978703209408954e-13,8.212667932583513e-13,1.2186455616862935,0.3183970017118185,2.1188941216607686
10.625,peak,3.163289352414722e-10,3.1344516514764105e-10,5.61750174970585e-13,4.239711527778118e-13,0.9200237918721266,0.35920056281743923,1.4808470209268139
10.875,peak,3.153941997879883e-10,3.1299151828534374e-10,8.818273151533593e-13,5.728961907576696e-13,0.7676506749470846,-0.0893748336243323,1.6246761835185017
11.125,peak,3.1520760899184095e-10,3.125932903458306e-10,1.0289535993573328e-12,6.043621096572602e-13,0.8363322971897569,-0.15478075662510843,1.8274453510046222
11.375,peak,3.1529860393675334e-10,3.118528559298283e-10,1.0661745155551175e-12,5.424733507138556e-13,1.1049275135387449,0.08140307939543939,2.1284519476820503
11.625,peak,3.1454092322746875e-10,3.1090994525584394e-10,8.772064862344579e-13,8.593610263830356e-13,1.1678552027780675,0.195833809294302,2.1398765962618334
11.875,peak,3.1430511967300847e-10,3.1043052103996163e-10,9.28784047197242e-13,8.370404190048174e-13,1.2481371419494014,0.2550628337115756,2.241211450187227
12.125,peak,3.132969595753821e-10,3.098811441759608e-10,8.841074615676012e-13,6.409884268461834e-13,1.102298563052173,0.2173512408958257,1.9872458852085204
12.375,peak,3.1258233775588454e-10,3.09971306933221e-10,7.87404082124749e-13,9.094940989906669e-13,0.842345973405223,-0.11719854854589148,1.8018904953563377
12.625,peak,3.124510180896323e-10,3.09654437842255e-10,9.097817943111986e-13,1.1089072863178079e-12,0.9031293938057239,-0.24803530370307217,2.05429409131452
12.875,peak,3.1196109944175986e-10,3.091646397024306e-10,6.602351968267164e-13,7.349606982714303e-13,0.9045212098061528,0.11610680340282051,1.692935616209485
13.125,peak,3.1139512202571497e-10,3.0870629302626186e-10,8.686811874783633e-13,8.956079414691711e-13,0.8709990888408514,-0.12277707832340154,1.8647752560051043
