energy_MeV_per_u,section_00_mass_xs_per_mm_at_1g_cm3,section_01_mass_xs_per_mm_at_1g_cm3,section_02_mass_xs_per_mm_at_1g_cm3,section_03_mass_xs_per_mm_at_1g_cm3,section_04_mass_xs_per_mm_at_1g_cm3,section_05_mass_xs_per_mm_at_1g_cm3,section_06_mass_xs_per_mm_at_1g_cm3,section_07_mass_xs_per_mm_at_1g_cm3,section_08_mass_xs_per_mm_at_1g_cm3,section_09_mass_xs_per_mm_at_1g_cm3,section_10_mass_xs_per_mm_at_1g_cm3,section_11_mass_xs_per_mm_at_1g_cm3,section_12_mass_xs_per_mm_at_1g_cm3,section_13_mass_xs_per_mm_at_1g_cm3,section_14_mass_xs_per_mm_at_1g_cm3,section_15_mass_xs_per_mm_at_1g_cm3,section_16_mass_xs_per_mm_at_1g_cm3,section_17_mass_xs_per_mm_at_1g_cm3,section_18_mass_xs_per_mm_at_1g_cm3,section_19_mass_xs_per_mm_at_1g_cm3,section_20_mass_xs_per_mm_at_1g_cm3,section_21_mass_xs_per_mm_at_1g_cm3,section_22_mass_xs_per_mm_at_1g_cm3,section_23_mass_xs_per_mm_at_1g_cm3,section_24_mass_xs_per_mm_at_1g_cm3
5.5,6.5278478057e-03,1.1222362400e-02,1.2611300245e-02,1.2320118546e-02,1.2027899297e-02,1.1803231198e-02,1.1611164237e-02,1.1263755603e-02,1.0929049932e-02,1.1125672607e-02,1.0717747138e-02,1.0260130318e-02,9.8576672852e-03,9.5218655693e-03,9.1868505844e-03,8.8599905674e-03,8.5325999085e-03,8.2699836046e-03,8.0570586506e-03,7.7970315993e-03,7.5954603108e-03,7.3951836487e-03,7.1962016129e-03,7.0614632901e-03,3.0575605758e-03
6,6.5764708572e-03,1.1174760557e-02,1.2545873152e-02,1.2258589703e-02,1.1970286417e-02,1.1748437387e-02,1.1558961297e-02,1.1215851287e-02,1.0889014878e-02,1.1084116803e-02,1.0682960460e-02,1.0233075904e-02,9.8373309951e-03,9.5071387121e-03,9.1777202203e-03,8.8563869188e-03,8.5345229017e-03,8.2763341953e-03,8.0668737019e-03,7.8112558805e-03,7.6130461733e-03,7.4161219086e-03,7.2204830864e-03,7.0879888593e-03,3.1361300712e-03
6.5,6.6089591382e-03,1.1118451019e-02,1.2472508390e-02,1.2188940692e-02,1.1904368701e-02,1.1685223267e-02,1.1498214532e-02,1.1159232130e-02,1.0839599316e-02,1.1033121264e-02,1.0638287705e-02,1.0195617858e-02,9.8061460196e-03,9.4811909612e-03,9.1569978786e-03,8.8408209278e-03,8.5241139118e-03,8.2700570797e-03,8.0638365368e-03,7.8123316535e-03,7.6172610913e-03,7.4234665035e-03,7.2309478900e-03,7.1005493952e-03,3.1981017773e-03
7,6.6293105127e-03,1.1056275639e-02,1.2394000251e-02,1.2113980082e-02,1.1832969430e-02,1.1616417908e-02,1.1431763111e-02,1.1096744736e-02,1.0783760413e-02,1.0975673558e-02,1.0586776875e-02,1.0150875326e-02,9.7672920499e-03,9.4472527284e-03,9.1279645006e-03,8.8166245075e-03,8.5047556245e-03,8.2545755071e-03,8.0514002568e-03,7.8037529086e-03,7.6116292799e-03,7.4207720359e-03,7.2311811765e-03,7.1027501927e-03,3.2473263646e-03
7.5,6.6403871518e-03,1.0990196475e-02,1.2312261482e-02,1.2035634138e-02,1.1758028709e-02,1.1543967987e-02,1.1361563128e-02,1.1030354242e-02,1.0723548220e-02,1.0913843820e-02,1.0530546698e-02,1.0101024034e-02,9.7229934423e-03,9.4075890919e-03,9.0929257398e-03,8.7861441370e-03,8.4788352045e-03,8.2323091568e-03,8.0320086529e-03,7.7879961652e-03,7.5986515416e-03,7.4105636980e-03,7.2237326344e-03,7.0971571259e-03,3.2865887806e-03
8,6.6442833724e-03,1.0921593076e-02,1.2228623739e-02,1.1955246954e-02,1.1680903316e-02,1.1469236977e-02,1.1288986636e-02,1.0961442203e-02,1.0660410875e-02,1.0849093582e-02,1.0471098393e-02,1.0047611603e-02,9.6748374916e-03,9.3638205570e-03,9.0535351983e-03,8.7510666460e-03,8.4480726083e-03,8.2050044676e-03,8.0074279275e-03,7.7668542484e-03,7.5801405171e-03,7.3946740165e-03,7.2104547468e-03,7.0856358886e-03,3.3179486058e-03
8.5,6.6425606353e-03,1.0851449649e-02,1.2144026200e-02,1.1873768997e-02,1.1602555196e-02,1.1393193300e-02,1.1215009784e-02,1.0890994127e-02,1.0595387052e-02,1.0782470481e-02,1.0409512440e-02,9.9917568189e-03,9.6239757911e-03,9.3171261736e-03,9.0109992913e-03,8.7126258728e-03,8.4137290229e-03,8.1739444947e-03,7.9789575459e-03,7.7416485846e-03,7.5574340231e-03,7.3744572451e-03,7.1927182505e-03,7.0695681462e-03,3.3429585723e-03
9,6.6364021897e-03,1.0780476378e-02,1.2059137435e-02,1.1791879007e-02,1.1523673409e-02,1.1316532117e-02,1.1140334665e-02,1.0819721025e-02,1.0529230876e-02,1.0714734611e-02,1.0346576440e-02,9.9342792859e-03,9.5712554032e-03,9.2683759760e-03,8.9662109516e-03,8.6717376592e-03,8.3767431442e-03,8.1400862121e-03,7.9475682624e-03,7.7133682668e-03,7.5315348720e-03,7.3509299455e-03,7.1715534872e-03,7.0499933894e-03,3.3628090937e-03
9.5,6.6267174937e-03,1.0709190032e-02,1.1974436124e-02,1.1710064800e-02,1.1444755026e-02,1.1239756162e-02,1.1065470212e-02,1.0748140178e-02,1.0462495076e-02,1.0646442614e-02,1.0282870314e-02,9.8757859553e-03,9.5173064999e-03,9.2182195595e-03,8.9198391376e-03,8.6290903082e-03,8.3378225787e-03,8.1041526675e-03,7.9139948144e-03,7.6827635122e-03,7.5032048854e-03,7.3248655631e-03,7.1477455453e-03,7.0277044457e-03,3.3784263634e-03
10,6.6142143346e-03,1.0637968727e-02,1.1890265686e-02,1.1628677997e-02,1.1366159966e-02,1.1163230567e-02,1.0990787105e-02,1.0676629992e-02,1.0395587557e-02,1.0578004887e-02,1.0218824341e-02,9.8167301525e-03,9.4626022293e-03,9.1671466501e-03,8.8723901031e-03,8.5852065655e-03,8.2975065319e-03,8.0666962354e-03,7.8787995816e-03,7.6504098930e-03,7.4730295431e-03,7.2968594971e-03,7.1218997551e-03,7.0033132541e-03,3.3905404704e-03
