energy_MeV_per_u,section_00_mass_xs_per_mm_at_1g_cm3,section_01_mass_xs_per_mm_at_1g_cm3,section_02_mass_xs_per_mm_at_1g_cm3,section_03_mass_xs_per_mm_at_1g_cm3,section_04_mass_xs_per_mm_at_1g_cm3,section_05_mass_xs_per_mm_at_1g_cm3,section_06_mass_xs_per_mm_at_1g_cm3,section_07_mass_xs_per_mm_at_1g_cm3,section_08_mass_xs_per_mm_at_1g_cm3,section_09_mass_xs_per_mm_at_1g_cm3,section_10_mass_xs_per_mm_at_1g_cm3,section_11_mass_xs_per_mm_at_1g_cm3,section_12_mass_xs_per_mm_at_1g_cm3,section_13_mass_xs_per_mm_at_1g_cm3,section_14_mass_xs_per_mm_at_1g_cm3,section_15_mass_xs_per_mm_at_1g_cm3,section_16_mass_xs_per_mm_at_1g_cm3,section_17_mass_xs_per_mm_at_1g_cm3,section_18_mass_xs_per_mm_at_1g_cm3,section_19_mass_xs_per_mm_at_1g_cm3,section_20_mass_xs_per_mm_at_1g_cm3,section_21_mass_xs_per_mm_at_1g_cm3,section_22_mass_xs_per_mm_at_1g_cm3,section_23_mass_xs_per_mm_at_1g_cm3,section_24_mass_xs_per_mm_at_1g_cm3
5.100000,6.900055125083e-03,1.040202350726e-02,1.165449870385e-02,1.139542849399e-02,1.113511702073e-02,1.093136612056e-02,1.076065814863e-02,1.044424204448e-02,1.021482403788e-02,1.039761650251e-02,1.005462390796e-02,9.673433960590e-03,9.336120922775e-03,9.054580109502e-03,8.773858527480e-03,8.501573739609e-03,8.228741639108e-03,8.009773033262e-03,7.829001780245e-03,7.612665920141e-03,7.443672478817e-03,7.275995410364e-03,7.109634714770e-03,6.996590201192e-03,3.276067770430e-03
5.600000,6.946132019682e-03,1.032778828790e-02,1.155504188328e-02,1.130141513282e-02,1.104657238015e-02,1.084683862410e-02,1.067974188547e-02,1.036947648218e-02,1.014961812672e-02,1.032994314201e-02,9.995904998510e-03,9.624888820938e-03,9.296446426934e-03,9.022313409077e-03,8.748980353907e-03,8.483967131203e-03,8.218408164305e-03,8.005268735511e-03,7.829107340788e-03,7.618568144034e-03,7.454014545463e-03,7.290761062904e-03,7.128807696373e-03,7.018728123763e-03,3.372164206220e-03
6.100000,6.971038528695e-03,1.024263812423e-02,1.144598839708e-02,1.119750360951e-02,1.094782484467e-02,1.075190598613e-02,1.058821761603e-02,1.028379931193e-02,1.007260575353e-02,1.025043172905e-02,9.924689485535e-03,9.563088884096e-03,9.242862088797e-03,8.975588999233e-03,8.709098416967e-03,8.450814256566e-03,8.191986780396e-03,7.984242948436e-03,7.812357474405e-03,7.607181405754e-03,7.446740127926e-03,7.287582731738e-03,7.129709217211e-03,7.022376031133e-03,3.445363793080e-03
6.600000,6.980498599043e-03,1.015061676334e-02,1.133126967763e-02,1.108765448189e-02,1.084286478595e-02,1.065057423134e-02,1.049011152210e-02,1.019125893923e-02,9.987991916739e-03,1.016332347907e-02,9.845313798835e-03,9.492481584236e-03,9.179910414480e-03,8.919029034110e-03,8.658914190242e-03,8.406896104962e-03,8.154337723276e-03,7.951619269334e-03,7.783723349743e-03,7.583540568081e-03,7.426931576277e-03,7.271590420595e-03,7.117517101080e-03,7.012743412874e-03,3.501368373400e-03
7.100000,6.978499518003e-03,1.005442218536e-02,1.121347869956e-02,1.097448675376e-02,1.073433773712e-02,1.054550407796e-02,1.038810216421e-02,1.009455597347e-02,9.898595575591e-03,1.007145953659e-02,9.760694460509e-03,9.416071034755e-03,9.110670706515e-03,8.855775780460e-03,8.601632657965e-03,8.355480386706e-03,8.108791246005e-03,7.910777972303e-03,7.746623048281e-03,7.551113927160e-03,7.398094752694e-03,7.246327654518e-03,7.095812632642e-03,6.993436608314e-03,3.544204035960e-03
7.600000,6.967887457228e-03,9.955889163608e-03,1.109435479271e-02,1.085976272922e-02,1.062402934959e-02,1.043849529349e-02,1.028400495564e-02,9.995526593846e-03,9.806344490109e-03,9.976781169296e-03,9.672833474870e-03,9.335929625005e-03,9.037275888130e-03,8.788012835357e-03,8.539487901160e-03,8.298851574946e-03,8.057682086092e-03,7.864094006135e-03,7.703462081627e-03,7.512347314851e-03,7.362705739744e-03,7.214300821217e-03,7.067132559290e-03,6.967012543630e-03,3.576786092180e-03
8.100000,6.950736527590e-03,9.856283391458e-03,1.097507805480e-02,1.074468268924e-02,1.051316037172e-02,1.033078147880e-02,1.017906717731e-02,9.895437149971e-03,9.712577314978e-03,9.880635052867e-03,9.583127207923e-03,9.253511171469e-03,8.961229265010e-03,8.717284920084e-03,8.474065907758e-03,8.238636780685e-03,8.002678386917e-03,7.813268347121e-03,7.655966498823e-03,7.468999669677e-03,7.322548211885e-03,7.177318359423e-03,7.033310112292e-03,6.935320952437e-03,3.601271448340e-03
8.600000,6.928585208258e-03,9.756486651583e-03,1.085645396650e-02,1.063006983356e-02,1.040257194300e-02,1.022321535561e-02,1.007415351780e-02,9.795169617569e-03,9.618234108890e-03,9.783965740993e-03,9.492561408946e-03,9.169848957650e-03,8.883605124429e-03,8.644700627563e-03,8.406509457206e-03,8.176012802347e-03,7.944990900569e-03,7.759538921075e-03,7.605395060814e-03,7.422356950090e-03,7.278928625653e-03,7.136707235596e-03,6.995692779940e-03,6.899722999630e-03,3.619285848610e-03
9.100000,6.902592212857e-03,9.657116661003e-03,1.073903236694e-02,1.051648957996e-02,1.029284523412e-02,1.011638848246e-02,9.969866027480e-03,9.695341620577e-03,9.523979862176e-03,9.687440427800e-03,9.401837825025e-03,9.085684531431e-03,8.805179388299e-03,8.571064632049e-03,8.337651879504e-03,8.111841449876e-03,7.885509869191e-03,7.703818728821e-03,7.552678279262e-03,7.373372429513e-03,7.232817440631e-03,7.093455097071e-03,6.955285398810e-03,6.861234989816e-03,3.632074712720e-03
9.600000,6.873641840617e-03,9.558606511080e-03,1.062318595239e-02,1.040432835737e-02,1.018438054631e-02,1.001071046237e-02,9.866623537101e-03,9.596385982808e-03,9.430286539321e-03,9.591531784816e-03,9.311458409410e-03,9.001553524063e-03,8.726516804456e-03,8.496966031362e-03,8.268106542949e-03,8.046760186964e-03,7.824896816938e-03,7.646788556360e-03,7.498511805713e-03,7.322761011506e-03,7.184944119806e-03,7.048305961306e-03,6.912846535996e-03,6.820625206084e-03,3.640605808880e-03
