# Canonical Geant4/TOPAS C12 Stopping Power Table for 25 Schneider Sections
energy_mevu,section_id,material_name,density_g_cm3,mass_stopping_power_mev_mm_per_g_cm3,linear_stopping_power_mev_per_mm,csda_range_mm
0.81,20,PatientTissueFromHU1250,1.8216000,565.1083127000,1029.4013020000,0.0098892354
0.81,21,PatientTissueFromHU1350,1.8875600,557.5189159000,1052.3504050000,0.0096990671
0.81,22,PatientTissueFromHU1450,1.9542400,550.0177116000,1074.8666130000,0.0095207269
0.81,23,PatientTissueFromHU2247,2.4196000,544.9276664000,1318.5069820000,0.0077761939
0.81,24,PatientTissueFromHU2995,4.5524800,379.8182456000,1729.1149670000,0.0062060788
0.91,0,PatientTissueFromHUNegative975,0.0393235,533.0490325000,20.9613536300,0.5430693948
0.91,1,PatientTissueFromHUNegative535,0.4700410,669.6252739000,314.7513334000,0.0348826644
0.91,2,PatientTissueFromHUNegative102,0.8749110,731.3420090000,639.8591684000,0.0163804525
0.91,3,PatientTissueFromHUNegative68,0.9126860,718.5972290000,655.8536306000,0.0161155931
0.91,4,PatientTissueFromHUNegative38,0.9471830,706.1034483000,668.8091825000,0.0159367197
0.91,5,PatientTissueFromHUNegative8,0.9803890,695.8041668000,682.1587513000,0.0157519922
0.91,6,PatientTissueFromHU12,1.0038600,687.6416150000,690.2959116000,0.0156618233
0.91,7,PatientTissueFromHU49,1.0430800,671.8605696000,700.8043230000,0.0156303277
0.91,8,PatientTissueFromHU100,1.0788000,664.7374441000,717.1187547000,0.0152154797
0.91,9,PatientTissueFromHU160,1.1085700,675.9056024000,749.2886737000,0.0142599931
0.91,10,PatientTissueFromHU250,1.1660600,661.1739111000,770.9684507000,0.0139071147
0.91,11,PatientTissueFromHU350,1.2314600,645.0224703000,794.3193713000,0.0135522272
0.91,12,PatientTissueFromHU450,1.2965800,630.4793906000,817.4669683000,0.0132179154
0.91,13,PatientTissueFromHU550,1.3606300,618.2693987000,841.2358919000,0.0128876878
0.91,14,PatientTissueFromHU650,1.4258500,606.2770951000,864.4601960000,0.0125848169
0.91,15,PatientTissueFromHU750,1.4919000,594.6878551000,887.2148110000,0.0123045843
0.91,16,PatientTissueFromHU850,1.5592200,583.2078713000,909.3493770000,0.0120473343
0.91,17,PatientTissueFromHU950,1.6247800,573.9025789000,932.4654322000,0.0117851470
0.91,18,PatientTissueFromHU1050,1.6890400,566.0170343000,956.0254117000,0.0115264237
0.91,19,PatientTissueFromHU1150,1.7563600,556.8634751000,978.0527331000,0.0113020422
0.91,20,PatientTissueFromHU1250,1.8216000,549.6115586000,1001.1724150000,0.0110712436
0.91,21,PatientTissueFromHU1350,1.8875600,542.4355118000,1023.8795750000,0.0108550809
0.91,22,PatientTissueFromHU1450,1.9542400,535.3353351000,1046.1737250000,0.0106523162
0.91,23,PatientTissueFromHU2247,2.4196000,530.5204809000,1283.6473560000,0.0086985618
0.91,24,PatientTissueFromHU2995,4.5524800,370.4798900000,1686.6022900000,0.0069087493
1.01,0,PatientTissueFromHUNegative975,0.0393235,522.4156112000,20.5432102900,0.6008963174
1.01,1,PatientTissueFromHUNegative535,0.4700410,650.9719265000,305.9834953000,0.0387493068
1.01,2,PatientTissueFromHUNegative102,0.8749110,705.2357970000,617.0185564000,0.0182901564
1.01,3,PatientTissueFromHUNegative68,0.9126860,694.0024637000,633.4063326000,0.0179773143
1.01,4,PatientTissueFromHUNegative38,0.9471830,682.9545358000,646.8829261000,0.0177610235
1.01,5,PatientTissueFromHUNegative8,0.9803890,673.9576821000,660.7406980000,0.0175393216
1.01,6,PatientTissueFromHU12,1.0038600,666.7525942000,669.3262592000,0.0174271595
1.01,7,PatientTissueFromHU49,1.0430800,652.8846587000,681.0109298000,0.0173672923
1.01,8,PatientTissueFromHU100,1.0788000,645.5574419000,696.4273684000,0.0169134586
1.01,9,PatientTissueFromHU160,1.1085700,653.8962079000,724.8897192000,0.0158881673
1.01,10,PatientTissueFromHU250,1.1660600,639.9708516000,746.2444113000,0.0154891026
1.01,11,PatientTissueFromHU350,1.2314600,624.6996500000,769.2926310000,0.0150872659
1.01,12,PatientTissueFromHU450,1.2965800,610.9427104000,792.1360994000,0.0147090893
1.01,13,PatientTissueFromHU550,1.3606300,599.4022575000,815.5646937000,0.0143363788
1.01,14,PatientTissueFromHU650,1.4258500,588.0639221000,838.4909433000,0.0139942443
1.01,15,PatientTissueFromHU750,1.4919000,577.1063656000,860.9849869000,0.0136775281
1.01,16,PatientTissueFromHU850,1.5592200,566.2408710000,882.8940908000,0.0133865354
1.01,17,PatientTissueFromHU950,1.6247800,557.4474945000,905.7295402000,0.0130908678
1.01,18,PatientTissueFromHU1050,1.6890400,549.9999644000,928.9719398000,0.0127997225
1.01,19,PatientTissueFromHU1150,1.7563600,541.3355685000,950.7801390000,0.0125464009
1.01,20,PatientTissueFromHU1250,1.8216000,534.4875919000,973.6225974000,0.0122866384
1.01,21,PatientTissueFromHU1350,1.8875600,527.7041080000,996.0731661000,0.0120433026
1.01,22,PatientTissueFromHU1450,1.9542400,520.9851170000,1018.1299550000,0.0118150073
1.01,23,PatientTissueFromHU2247,2.4196000,516.4315039000,1249.5576670000,0.0096460354
1.01,24,PatientTissueFromHU2995,4.5524800,361.3610969000,1645.0891670000,0.0076291414
1.11,0,PatientTissueFromHUNegative975,0.0393235,511.8981603000,20.1296273100,0.6599057907
1.11,1,PatientTissueFromHUNegative535,0.4700410,633.8081722000,297.9158271000,0.0427237156
1.11,2,PatientTissueFromHUNegative102,0.8749110,682.6259371000,597.2369413000,0.0202668510
1.11,3,PatientTissueFromHUNegative68,0.9126860,672.5002361000,613.7815505000,0.0199018022
1.11,4,PatientTissueFromHUNegative38,0.9471830,662.5135616000,627.5215828000,0.0196444010
1.11,5,PatientTissueFromHUNegative8,0.9803890,654.4650416000,641.6303277000,0.0193822467
1.11,6,PatientTissueFromHU12,1.0038600,647.9622325000,650.4633668000,0.0192457550
