# Canonical Geant4/TOPAS C12 Stopping Power Table for 25 Schneider Sections
energy_mevu,section_id,material_name,density_g_cm3,mass_stopping_power_mev_mm_per_g_cm3,linear_stopping_power_mev_per_mm,csda_range_mm
32.71,22,PatientTissueFromHU1450,1.9542400,55.5819029300,108.6203780000,2.0295546320
32.71,23,PatientTissueFromHU2247,2.4196000,55.3523640200,133.9305800000,1.6464622450
32.71,24,PatientTissueFromHU2995,4.5524800,42.9338768500,195.4556157000,1.1440611780
32.81,0,PatientTissueFromHUNegative975,0.0393235,55.0609474100,2.1651891650,101.8895463000
32.81,1,PatientTissueFromHUNegative535,0.4700410,62.6217197800,29.4347757900,7.4636597120
32.81,2,PatientTissueFromHUNegative102,0.8749110,64.4186176200,56.3605571600,3.8886064500
32.81,3,PatientTissueFromHUNegative68,0.9126860,64.0421442800,58.4503685000,3.7512829220
32.81,4,PatientTissueFromHUNegative38,0.9471830,63.6516527000,60.2897633600,3.6385474100
32.81,5,PatientTissueFromHUNegative8,0.9803890,63.3760631200,62.1331951400,3.5319815440
32.81,6,PatientTissueFromHU12,1.0038600,63.1221098000,63.3657611400,3.4643862640
32.81,7,PatientTissueFromHU49,1.0430800,62.6701824500,65.3700139100,3.3603676650
32.81,8,PatientTissueFromHU100,1.0788000,62.0581530700,66.9483355300,3.2815471210
32.81,9,PatientTissueFromHU160,1.1085700,62.0715234500,68.8106287500,3.1917623610
32.81,10,PatientTissueFromHU250,1.1660600,61.3828392300,71.5760735100,3.0703570710
32.81,11,PatientTissueFromHU350,1.2314600,60.6141018900,74.6438419100,2.9462011670
32.81,12,PatientTissueFromHU450,1.2965800,59.9357286200,77.7114670200,2.8317392560
32.81,13,PatientTissueFromHU550,1.3606300,59.3719398200,80.7832424800,2.7255826780
32.81,14,PatientTissueFromHU650,1.4258500,58.8067942200,83.8496675500,2.6273912880
32.81,15,PatientTissueFromHU750,1.4919000,58.2576844000,86.9146393600,2.5361365910
32.81,16,PatientTissueFromHU850,1.5592200,57.7040490000,89.9733072900,2.4513120860
32.81,17,PatientTissueFromHU950,1.6247800,57.2627094200,93.0393050200,2.3716390640
32.81,18,PatientTissueFromHU1050,1.6890400,56.9012003300,96.1084034100,2.2968618990
32.81,19,PatientTissueFromHU1150,1.7563600,56.4620136900,99.1676223700,2.2270687980
32.81,20,PatientTissueFromHU1250,1.8216000,56.1224478800,102.2326511000,2.1611409850
32.81,21,PatientTissueFromHU1350,1.8875600,55.7839874400,105.2956233000,2.0990975380
32.81,22,PatientTissueFromHU1450,1.9542400,55.4466148300,108.3559926000,2.0406157500
32.81,23,PatientTissueFromHU2247,2.4196000,55.2176934500,133.6047311000,1.6554330280
32.81,24,PatientTissueFromHU2995,4.5524800,42.8324944000,194.9940741000,1.1502079390
32.91,0,PatientTissueFromHUNegative975,0.0393235,54.9266446400,2.1599079110,102.4444474000
32.91,1,PatientTissueFromHUNegative535,0.4700410,62.4681298900,29.3625822400,7.5044778930
32.91,2,PatientTissueFromHUNegative102,0.8749110,64.2601273200,56.2218922500,3.9099241700
32.91,3,PatientTissueFromHUNegative68,0.9126860,63.8846740300,58.3066476100,3.7718384430
32.91,4,PatientTissueFromHUNegative38,0.9471830,63.4952421700,60.1416139700,3.6584757810
32.91,5,PatientTissueFromHUNegative8,0.9803890,63.2204065900,61.9805912000,3.5513186480
32.91,6,PatientTissueFromHU12,1.0038600,62.9671408700,63.2101940300,3.4833472200
32.91,7,PatientTissueFromHU49,1.0430800,62.5164510100,65.2096597200,3.3787472570
32.91,8,PatientTissueFromHU100,1.0788000,61.9059648600,66.7841548900,3.2994934050
32.91,9,PatientTissueFromHU160,1.1085700,61.9192731100,68.6418485900,3.2092229500
32.91,10,PatientTissueFromHU250,1.1660600,61.2324169400,71.4006721000,3.0871430260
32.91,11,PatientTissueFromHU350,1.2314600,60.4657137600,74.4611078600,2.9622972210
32.91,12,PatientTissueFromHU450,1.2965800,59.7891402000,77.5214034100,2.8471999070
32.91,13,PatientTissueFromHU550,1.3606300,59.2268446300,80.5858216100,2.7404554250
32.91,14,PatientTissueFromHU650,1.4258500,58.6631958100,83.6449177500,2.6417201170
32.91,15,PatientTissueFromHU750,1.4919000,58.1155368400,86.7025694100,2.5499601130
32.91,16,PatientTissueFromHU850,1.5592200,57.5633657100,89.7539510900,2.4646656600
32.91,17,PatientTissueFromHU950,1.6247800,57.1231918600,92.8126196700,2.3845525770
32.91,18,PatientTissueFromHU1050,1.6890400,56.7626423700,95.8743734700,2.3093630270
32.91,19,PatientTissueFromHU1150,1.7563600,56.3246140300,98.9262991000,2.2391842690
32.91,20,PatientTissueFromHU1250,1.8216000,55.9859453400,101.9839980000,2.1728932160
32.91,21,PatientTissueFromHU1350,1.8875600,55.6483782800,105.0396529000,2.1105078980
32.91,22,PatientTissueFromHU1450,1.9542400,55.3118953000,108.0927183000,2.0517038330
32.91,23,PatientTissueFromHU2247,2.4196000,55.0835782300,133.2802259000,1.6644256710
32.91,24,PatientTissueFromHU2995,4.5524800,42.7316658900,194.5350543000,1.1563692270
33.01,0,PatientTissueFromHUNegative975,0.0393235,54.7930837700,2.1546558300,103.0007032000
33.01,1,PatientTissueFromHUNegative535,0.4700410,62.3153912100,29.2907888000,7.5453962780
33.01,2,PatientTissueFromHUNegative102,0.8749110,64.1025171800,56.0839974100,3.9312943870
33.01,3,PatientTissueFromHUNegative68,0.9126860,63.7280779500,58.1637245500,3.7924445520
33.01,4,PatientTissueFromHUNegative38,0.9471830,63.3396995700,59.9942866600,3.6784531670
33.01,5,PatientTissueFromHUNegative8,0.9803890,63.0656135200,61.8288337700,3.5707032880
33.01,6,PatientTissueFromHU12,1.0038600,62.8130313500,63.0554896500,3.5023547700
33.01,7,PatientTissueFromHU49,1.0430800,62.3635716600,65.0501943300,3.3971719760
33.01,8,PatientTissueFromHU100,1.0788000,61.7546200500,66.6208841100,3.3174837390
33.01,9,PatientTissueFromHU160,1.1085700,61.7678666500,68.4740039300,3.2267264060
33.01,10,PatientTissueFromHU250,1.1660600,61.0828279100,71.2262423100,3.1039701520
33.01,11,PatientTissueFromHU350,1.2314600,60.3181470800,74.2793854000,2.9784327140
33.01,12,PatientTissueFromHU450,1.2965800,59.6433627700,77.3323913000,2.8626984050
33.01,13,PatientTissueFromHU550,1.3606300,59.0825517500,80.3894923900,2.7553645510
33.01,14,PatientTissueFromHU650,1.4258500,58.5203910200,83.4412995300,2.6560839650
33.01,15,PatientTissueFromHU750,1.4919000,57.9741744700,86.4916708900,2.5638173930
33.01,16,PatientTissueFromHU850,1.5592200,57.4234591100,89.5358059100,2.4780518190
33.01,17,PatientTissueFromHU950,1.6247800,56.9844442000,92.5871852500,2.3974975800
33.01,18,PatientTissueFromHU1050,1.6890400,56.6248487300,95.6416344900,2.3218946220
33.01,19,PatientTissueFromHU1150,1.7563600,56.1879719600,98.6863064200,2.2513292490
33.01,20,PatientTissueFromHU1250,1.8216000,55.8501951600,101.7367155000,2.1846740560
33.01,21,PatientTissueFromHU1350,1.8875600,55.5135162900,104.7850928000,2.1219460210
33.01,22,PatientTissueFromHU1450,1.9542400,55.1779177700,107.8308940000,2.0628188800
33.01,23,PatientTissueFromHU2247,2.4196000,54.9502015000,132.9575075000,1.6734401750
33.01,24,PatientTissueFromHU2995,4.5524800,42.6313866300,194.0785350000,1.1625450310
33.11,0,PatientTissueFromHUNegative975,0.0393235,54.6602584900,2.1494326750,103.5583128000
33.11,1,PatientTissueFromHUNegative535,0.4700410,62.1634965000,29.2193920600,7.5864148010
33.11,2,PatientTissueFromHUNegative102,0.8749110,63.9457797000,55.9468660600,3.9527170660
33.11,3,PatientTissueFromHUNegative68,0.9126860,63.5723485800,58.0215925300,3.8131012170
33.11,4,PatientTissueFromHUNegative38,0.9471830,63.1850174900,59.8477744200,3.6984795340
33.11,5,PatientTissueFromHUNegative8,0.9803890,62.9116765500,61.6779156600,3.5901354340
33.11,6,PatientTissueFromHU12,1.0038600,62.6597739200,62.9016406500,3.5214088810
33.11,7,PatientTissueFromHU49,1.0430800,62.2115371300,64.8916101500,3.4156417920
33.11,8,PatientTissueFromHU100,1.0788000,61.6041114600,66.4585154400,3.3355180940
33.11,9,PatientTissueFromHU160,1.1085700,61.6172968700,68.3070868000,3.2442726990
33.11,10,PatientTissueFromHU250,1.1660600,60.9340650400,71.0527758800,3.1208384250
33.11,11,PatientTissueFromHU350,1.2314600,60.1713948600,74.0986659100,2.9946076210
33.11,12,PatientTissueFromHU450,1.2965800,59.4983894300,77.1444217600,2.8782347250
33.11,13,PatientTissueFromHU550,1.3606300,58.9390543600,80.1942455300,2.7703100310
33.11,14,PatientTissueFromHU650,1.4258500,58.3783730900,83.2388032700,2.6704828120
33.11,15,PatientTissueFromHU750,1.4919000,57.8335906200,86.2819338500,2.5777084110
33.11,16,PatientTissueFromHU850,1.5592200,57.2843225900,89.3188614700,2.4914705420
33.11,17,PatientTissueFromHU950,1.6247800,56.8464599300,92.3629911600,2.4104740550
33.11,18,PatientTissueFromHU1050,1.6890400,56.4878129200,95.4101755300,2.3344566660
33.11,19,PatientTissueFromHU1150,1.7563600,56.0520810500,98.4476330700,2.2635037190
33.11,20,PatientTissueFromHU1250,1.8216000,55.7151909800,101.4907919000,2.1964834870
33.11,21,PatientTissueFromHU1350,1.8875600,55.3793951400,104.5319311000,2.1334118880
33.11,22,PatientTissueFromHU1450,1.9542400,55.0446759600,107.5705075000,2.0739608740
33.11,23,PatientTissueFromHU2247,2.4196000,54.8175569900,132.6365609000,1.6824765260
33.11,24,PatientTissueFromHU2995,4.5524800,42.5316520100,193.6244951000,1.1687353380
33.21,0,PatientTissueFromHUNegative975,0.0393235,54.5281625700,2.1442382010,104.1172754000
33.21,1,PatientTissueFromHUNegative535,0.4700410,62.0124385800,29.1483886400,7.6275333960
33.21,2,PatientTissueFromHUNegative102,0.8749110,63.7899074500,55.8104917200,3.9741921730
33.21,3,PatientTissueFromHUNegative68,0.9126860,63.4174785500,57.8802448200,3.8338084050
33.21,4,PatientTissueFromHUNegative38,0.9471830,63.0311886100,59.7020703200,3.7185548530
33.21,5,PatientTissueFromHUNegative8,0.9803890,62.7585884100,61.5278297300,3.6096150550
33.21,6,PatientTissueFromHU12,1.0038600,62.5073613500,62.7486397600,3.5405095240
33.21,7,PatientTissueFromHU49,1.0430800,62.0603402600,64.7338997200,3.4341566750
33.21,8,PatientTissueFromHU100,1.0788000,61.4544319900,66.2970412400,3.3535964420
33.21,9,PatientTissueFromHU160,1.1085700,61.4675566800,68.1410893100,3.2618618030
33.21,10,PatientTissueFromHU250,1.1660600,60.7861213100,70.8802646100,3.1377478150
33.21,11,PatientTissueFromHU350,1.2314600,60.0254501900,73.9189408800,3.0108219160
33.21,12,PatientTissueFromHU450,1.2965800,59.3542133500,76.9574859500,2.8938088420
33.21,13,PatientTissueFromHU550,1.3606300,58.7963457200,80.0000718800,2.7852918440
33.21,14,PatientTissueFromHU650,1.4258500,58.2371353700,83.0374194600,2.6849166320
33.21,15,PatientTissueFromHU750,1.4919000,57.6937787100,86.0733484600,2.5916331430
33.21,16,PatientTissueFromHU850,1.5592200,57.1459496400,89.1031076100,2.5049218060
33.21,17,PatientTissueFromHU950,1.6247800,56.7092325700,92.1400269000,2.4234819780
33.21,18,PatientTissueFromHU1050,1.6890400,56.3515285300,95.1799857500,2.3470491370
33.21,19,PatientTissueFromHU1150,1.7563600,55.9169349500,98.2102678700,2.2757076590
33.21,20,PatientTissueFromHU1250,1.8216000,55.5809264900,101.2462157000,2.2083214890
33.21,21,PatientTissueFromHU1350,1.8875600,55.2460085700,104.2801559000,2.1449054810
33.21,22,PatientTissueFromHU1450,1.9542400,54.9121636400,107.3115467000,2.0851297970
33.21,23,PatientTissueFromHU2247,2.4196000,54.6856385200,132.3173710000,1.6915347090
33.21,24,PatientTissueFromHU2995,4.5524800,42.4324574400,193.1729138000,1.1749401400
33.31,0,PatientTissueFromHUNegative975,0.0393235,54.3967898500,2.1390721660,104.6775899000
33.31,1,PatientTissueFromHUNegative535,0.4700410,61.8622103700,29.0777752300,7.6687520000
33.31,2,PatientTissueFromHUNegative102,0.8749110,63.6348931000,55.6748679600,3.9957196740
33.31,3,PatientTissueFromHUNegative68,0.9126860,63.2634605700,57.7396747800,3.8545660850
33.31,4,PatientTissueFromHUNegative38,0.9471830,62.8782057200,59.5571675300,3.7386790900
33.31,5,PatientTissueFromHUNegative8,0.9803890,62.6063419000,61.3785689300,3.6291421200
33.31,6,PatientTissueFromHU12,1.0038600,62.3557864700,62.5964798100,3.5596566690
33.31,7,PatientTissueFromHU49,1.0430800,61.9099739500,64.5770556200,3.4527165970
33.31,8,PatientTissueFromHU100,1.0788000,61.3055746300,66.1364539100,3.3717187550
33.31,9,PatientTissueFromHU160,1.1085700,61.3186390500,67.9760037000,3.2794936900
33.31,10,PatientTissueFromHU250,1.1660600,60.6389897900,70.7087004300,3.1546982970
33.31,11,PatientTissueFromHU350,1.2314600,59.8803062300,73.7402019100,3.0270755740
33.31,12,PatientTissueFromHU450,1.2965800,59.2108278100,76.7715751200,2.9094207320
33.31,13,PatientTissueFromHU550,1.3606300,58.6544191600,79.8069623500,2.8003099630
33.31,14,PatientTissueFromHU650,1.4258500,58.0966712600,82.8371387100,2.6993854040
33.31,15,PatientTissueFromHU750,1.4919000,57.5547322000,85.8659049700,2.6055915680
33.31,16,PatientTissueFromHU850,1.5592200,57.0083338200,88.8885342600,2.5184055920
33.31,17,PatientTissueFromHU950,1.6247800,56.5727557500,91.9182820800,2.4365213310
33.31,18,PatientTissueFromHU1050,1.6890400,56.2159892300,94.9510544400,2.3596720170
33.31,19,PatientTissueFromHU1150,1.7563600,55.7825273900,97.9741998100,2.2879410490
33.31,20,PatientTissueFromHU1250,1.8216000,55.4473954400,101.0029755000,2.2201880440
33.31,21,PatientTissueFromHU1350,1.8875600,55.1133504000,104.0297557000,2.1564267820
33.31,22,PatientTissueFromHU1450,1.9542400,54.7803746700,107.0539994000,2.0963256320
33.31,23,PatientTissueFromHU2247,2.4196000,54.5544399700,131.9999229000,1.7006147090
33.31,24,PatientTissueFromHU2995,4.5524800,42.3337984000,192.7237706000,1.1811594240
33.41,0,PatientTissueFromHUNegative975,0.0393235,54.2661342500,2.1339343300,105.2392556000
33.41,1,PatientTissueFromHUNegative535,0.4700410,61.7128053000,29.0075487200,7.7100705470
33.41,2,PatientTissueFromHUNegative102,0.8749110,63.4807321100,55.5399908100,4.0172995340
33.41,3,PatientTissueFromHUNegative68,0.9126860,63.1102897100,57.5998778700,3.8753742210
33.41,4,PatientTissueFromHUNegative38,0.9471830,62.7260634800,59.4130609800,3.7588522140
33.41,5,PatientTissueFromHUNegative8,0.9803890,62.4549313300,61.2301276700,3.6487165970
33.41,6,PatientTissueFromHU12,1.0038600,62.2050433400,62.4451548100,3.5788502860
33.41,7,PatientTissueFromHU49,1.0430800,61.7604317200,64.4210711200,3.4713215270
33.41,8,PatientTissueFromHU100,1.0788000,61.1575332600,65.9767468800,3.3898850030
33.41,9,PatientTissueFromHU160,1.1085700,61.1705388500,67.8118242500,3.2971683320
33.41,10,PatientTissueFromHU250,1.1660600,60.4926653100,70.5380773100,3.1716898430
33.41,11,PatientTissueFromHU350,1.2314600,59.7359578000,73.5624425900,3.0433685680
33.41,12,PatientTissueFromHU450,1.2965800,59.0682275600,76.5866824900,2.9250703690
33.41,13,PatientTissueFromHU550,1.3606300,58.5132694300,79.6149097800,2.8153643670
33.41,14,PatientTissueFromHU650,1.4258500,57.9569754700,82.6379534800,2.7138891050
33.41,15,PatientTissueFromHU750,1.4919000,57.4164458100,85.6595955000,2.6195836640
33.41,16,PatientTissueFromHU850,1.5592200,56.8714698100,88.6751331600,2.5319218770
33.41,17,PatientTissueFromHU950,1.6247800,56.4370241100,91.6977480400,2.4495920910
33.41,18,PatientTissueFromHU1050,1.6890400,56.0811896400,94.7233725500,2.3723252830
33.41,19,PatientTissueFromHU1150,1.7563600,55.6488529900,97.7394194300,2.3002038700
33.41,20,PatientTissueFromHU1250,1.8216000,55.3145924500,100.7610616000,2.2320831330
33.41,21,PatientTissueFromHU1350,1.8875600,54.9814152000,103.7807201000,2.1679757720
33.41,22,PatientTissueFromHU1450,1.9542400,54.6493036300,106.7978551000,2.1075483600
33.41,23,PatientTissueFromHU2247,2.4196000,54.4239559100,131.6842037000,1.7097165130
33.41,24,PatientTissueFromHU2995,4.5524800,42.2356704300,192.2770449000,1.1873931800
33.51,0,PatientTissueFromHUNegative975,0.0393235,54.1361897400,2.1288244570,105.8022716000
33.51,1,PatientTissueFromHUNegative535,0.4700410,61.5642185200,28.9377068400,7.7514889710
33.51,2,PatientTissueFromHUNegative102,0.8749110,63.3274305600,55.4058656000,4.0389317180
33.51,3,PatientTissueFromHUNegative68,0.9126860,62.9579698800,57.4608577000,3.8962327800
33.51,4,PatientTissueFromHUNegative38,0.9471830,62.5747637500,59.2697524500,3.7790741910
33.51,5,PatientTissueFromHUNegative8,0.9803890,62.3043566000,61.0825058600,3.6683384550
33.51,6,PatientTissueFromHU12,1.0038600,62.0551304900,62.2946633000,3.5980903420
33.51,7,PatientTissueFromHU49,1.0430800,61.6117093100,64.2659417400,3.4899714370
33.51,8,PatientTissueFromHU100,1.0788000,61.0103052000,65.8179172500,3.4080951570
33.51,9,PatientTissueFromHU160,1.1085700,61.0232580700,67.6485532000,3.3148856980
33.51,10,PatientTissueFromHU250,1.1660600,60.3471493500,70.3683969700,3.1887224260
33.51,11,PatientTissueFromHU350,1.2314600,59.5924058300,73.3856640900,3.0597008720
33.51,12,PatientTissueFromHU450,1.2965800,58.9264130700,76.4028086600,2.9407577290
33.51,13,PatientTissueFromHU550,1.3606300,58.3728965500,79.4239142300,2.8304550290
33.51,14,PatientTissueFromHU650,1.4258500,57.8180476300,82.4398632200,2.7284277100
33.51,15,PatientTissueFromHU750,1.4919000,57.2789187500,85.4544188800,2.6336094060
33.51,16,PatientTissueFromHU850,1.5592200,56.7353564800,88.4629025300,2.5454706400
33.51,17,PatientTissueFromHU950,1.6247800,56.3020362400,91.4784224500,2.4626942380
33.51,18,PatientTissueFromHU1050,1.6890400,55.9471280200,94.4969371200,2.3850089170
33.51,19,PatientTissueFromHU1150,1.7563600,55.5159097100,97.5059231800,2.3124961030
33.51,20,PatientTissueFromHU1250,1.8216000,55.1825152300,100.5204697000,2.2440067370
33.51,21,PatientTissueFromHU1350,1.8875600,54.8502004400,103.5330443000,2.1795524330
33.51,22,PatientTissueFromHU1450,1.9542400,54.5189477500,106.5431084000,2.1187979630
33.51,23,PatientTissueFromHU2247,2.4196000,54.2941834100,131.3702062000,1.7188401050
33.51,24,PatientTissueFromHU2995,4.5524800,42.1380691100,191.8327168000,1.1936413970
33.61,0,PatientTissueFromHUNegative975,0.0393235,54.0069512800,2.1237423490,106.3666369000
33.61,1,PatientTissueFromHUNegative535,0.4700410,61.4164436000,28.8682465700,7.7930072060
33.61,2,PatientTissueFromHUNegative102,0.8749110,63.1749661700,55.2724728300,4.0606161890
33.61,3,PatientTissueFromHUNegative68,0.9126860,62.8064819500,57.3225967900,3.9171417270
33.61,4,PatientTissueFromHUNegative38,0.9471830,62.4242904100,59.1272266600,3.7993449880
33.61,5,PatientTissueFromHUNegative8,0.9803890,62.1546044000,60.9356904500,3.6880076620
33.61,6,PatientTissueFromHU12,1.0038600,61.9060366100,62.1449939100,3.6173768080
33.61,7,PatientTissueFromHU49,1.0430800,61.4637994700,64.1116599500,3.5086662960
33.61,8,PatientTissueFromHU100,1.0788000,60.8638810800,65.6599549100,3.4263491880
33.61,9,PatientTissueFromHU160,1.1085700,60.8767806400,67.4861727200,3.3326457610
33.61,10,PatientTissueFromHU250,1.1660600,60.2024266900,70.1996416600,3.2057960160
33.61,11,PatientTissueFromHU350,1.2314600,59.4496360000,73.2098487500,3.0760724590
33.61,12,PatientTissueFromHU450,1.2965800,58.7853708300,76.2199361100,2.9564827850
33.61,13,PatientTissueFromHU550,1.3606300,58.2332877100,79.2339582500,2.8455819250
33.61,14,PatientTissueFromHU650,1.4258500,57.6798756100,82.2428506400,2.7430011950
33.61,15,PatientTissueFromHU750,1.4919000,57.1421395500,85.2503579900,2.6476687740
33.61,16,PatientTissueFromHU850,1.5592200,56.5999829500,88.2518254200,2.5590518570
33.61,17,PatientTissueFromHU950,1.6247800,56.1677817700,91.2602884700,2.4758277510
33.61,18,PatientTissueFromHU1050,1.6890400,55.8137945200,94.2717314900,2.3977228980
33.61,19,PatientTissueFromHU1150,1.7563600,55.3836881800,97.2736945800,2.3248177260
33.61,20,PatientTissueFromHU1250,1.8216000,55.0511548200,100.2811836000,2.2559588350
33.61,21,PatientTissueFromHU1350,1.8875600,54.7196975800,103.2867124000,2.1911567460
33.61,22,PatientTissueFromHU1450,1.9542400,54.3892988800,106.2897434000,2.1300744230
33.61,23,PatientTissueFromHU2247,2.4196000,54.1651145900,131.0579113000,1.7279854710
33.61,24,PatientTissueFromHU2995,4.5524800,42.0409900500,191.3907664000,1.1999040640
33.71,0,PatientTissueFromHUNegative975,0.0393235,53.8784170400,2.1186879320,106.9323506000
33.71,1,PatientTissueFromHUNegative535,0.4700410,61.2694868900,28.7991708900,7.8346251810
33.71,2,PatientTissueFromHUNegative102,0.8749110,63.0233354100,55.1398094000,4.0823529110
33.71,3,PatientTissueFromHUNegative68,0.9126860,62.6558243600,57.1850937100,3.9381010280
33.71,4,PatientTissueFromHUNegative38,0.9471830,62.2746437300,58.9854838700,3.8196645730
33.71,5,PatientTissueFromHUNegative8,0.9803890,62.0056767700,60.7896834400,3.7077241860
33.71,6,PatientTissueFromHU12,1.0038600,61.7577649700,61.9961499400,3.6367096500
33.71,7,PatientTissueFromHU49,1.0430800,61.3167080900,63.9582318800,3.5274060720
33.71,8,PatientTissueFromHU100,1.0788000,60.7182650900,65.5028643800,3.4446470650
33.71,9,PatientTissueFromHU160,1.1085700,60.7311060700,67.3246822500,3.3504484900
33.71,10,PatientTissueFromHU250,1.1660600,60.0584970600,70.0318110800,3.2229105870
33.71,11,PatientTissueFromHU350,1.2314600,59.3076483000,73.0349965800,3.0924833010
33.71,12,PatientTissueFromHU450,1.2965800,58.6451010400,76.0380651100,2.9722455110
33.71,13,PatientTissueFromHU550,1.3606300,58.0944433100,79.0450424100,2.8607450300
33.71,14,PatientTissueFromHU650,1.4258500,57.5424600100,82.0469166000,2.7576095370
33.71,15,PatientTissueFromHU750,1.4919000,57.0061089700,85.0474139800,2.6617617420
33.71,16,PatientTissueFromHU850,1.5592200,56.4653501600,88.0419032700,2.5726655070
33.71,17,PatientTissueFromHU950,1.6247800,56.0342618000,91.0433478800,2.4889926070
33.71,18,PatientTissueFromHU1050,1.6890400,55.6811903600,94.0477577600,2.4104672030
33.71,19,PatientTissueFromHU1150,1.7563600,55.2521897600,97.0427360100,2.3371687210
33.71,20,PatientTissueFromHU1250,1.8216000,54.9205127100,100.0432059000,2.2679394090
33.71,21,PatientTissueFromHU1350,1.8875600,54.5899082300,103.0417272000,2.2027886910
33.71,22,PatientTissueFromHU1450,1.9542400,54.2603587000,106.0377634000,2.1413777210
33.71,23,PatientTissueFromHU2247,2.4196000,54.0367512300,130.7473233000,1.7371525950
33.71,24,PatientTissueFromHU2995,4.5524800,41.9444289500,190.9511739000,1.2061811700
33.81,0,PatientTissueFromHUNegative975,0.0393235,53.7505762400,2.1136607850,107.4994119000
33.81,1,PatientTissueFromHUNegative535,0.4700410,61.1233256500,28.7304691100,7.8763428270
33.81,2,PatientTissueFromHUNegative102,0.8749110,62.8725270900,55.0078655500,4.1041418520
33.81,3,PatientTissueFromHUNegative68,0.9126860,62.5059836200,57.0483361700,3.9591106500
33.81,4,PatientTissueFromHUNegative38,0.9471830,62.1258081000,58.8445092900,3.8400329110
33.81,5,PatientTissueFromHUNegative8,0.9803890,61.8575560200,60.6444674900,3.7274879930
33.81,6,PatientTissueFromHU12,1.0038600,61.6102964500,61.8481122000,3.6560888370
33.81,7,PatientTissueFromHU49,1.0430800,61.1704130100,63.8056344100,3.5461907350
33.81,8,PatientTissueFromHU100,1.0788000,60.5734372900,65.3466241500,3.4629887580
33.81,9,PatientTissueFromHU160,1.1085700,60.5862201100,67.1640660300,3.3682938570
33.81,10,PatientTissueFromHU250,1.1660600,59.9153461400,69.8648885300,3.2400661110
33.81,11,PatientTissueFromHU350,1.2314600,59.1664283100,72.8610898100,3.1089333740
33.81,12,PatientTissueFromHU450,1.2965800,58.5055892100,75.8571768600,2.9880458810
33.81,13,PatientTissueFromHU550,1.3606300,57.9563487900,78.8571468600,2.8759443200
33.81,14,PatientTissueFromHU650,1.4258500,57.4057861700,81.8520402000,2.7722527130
33.81,15,PatientTissueFromHU750,1.4919000,56.8708123100,84.8455648900,2.6758882890
33.81,16,PatientTissueFromHU850,1.5592200,56.3314433400,87.8331130900,2.5863115680
33.81,17,PatientTissueFromHU950,1.6247800,55.9014614900,90.8275766000,2.5021887850
33.81,18,PatientTissueFromHU1050,1.6890400,55.5493006500,93.8249907700,2.4232418140
33.81,19,PatientTissueFromHU1150,1.7563600,55.1213995200,96.8130212500,2.3495490660
33.81,20,PatientTissueFromHU1250,1.8216000,54.7905739200,99.8065094400,2.2799484380
33.81,21,PatientTissueFromHU1350,1.8875600,54.4608173400,102.7980604000,2.2144482500
33.81,22,PatientTissueFromHU1450,1.9542400,54.1321121800,105.7871389000,2.1527078390
33.81,23,PatientTissueFromHU2247,2.4196000,53.9090782300,130.4384057000,1.7463414630
33.81,24,PatientTissueFromHU2995,4.5524800,41.8483815200,190.5139199000,1.2124727050
33.91,0,PatientTissueFromHUNegative975,0.0393235,53.6234231300,2.1086606790,108.0678199000
33.91,1,PatientTissueFromHUNegative535,0.4700410,60.9779545500,28.6621387300,7.9181600780
33.91,2,PatientTissueFromHUNegative102,0.8749110,62.7225356300,54.8766363700,4.1259829770
33.91,3,PatientTissueFromHUNegative68,0.9126860,62.3569542000,56.9123191000,3.9801705600
33.91,4,PatientTissueFromHUNegative38,0.9471830,61.9777780100,58.7042977100,3.8604499710
33.91,5,PatientTissueFromHUNegative8,0.9803890,61.7102367100,60.5000372600,3.7472990530
33.91,6,PatientTissueFromHU12,1.0038600,61.4636256300,61.7008752200,3.6755143400
33.91,7,PatientTissueFromHU49,1.0430800,61.0249088600,63.6538619300,3.5650202550
33.91,8,PatientTissueFromHU100,1.0788000,60.4293923000,65.1912284200,3.4813742390
33.91,9,PatientTissueFromHU160,1.1085700,60.4421173900,67.0043180800,3.3861818360
33.91,10,PatientTissueFromHU250,1.1660600,59.7729686200,69.6988677900,3.2572625610
33.91,11,PatientTissueFromHU350,1.2314600,59.0259707600,72.6881219500,3.1254226500
33.91,12,PatientTissueFromHU450,1.2965800,58.3668301200,75.6772645900,3.0038838720
33.91,13,PatientTissueFromHU550,1.3606300,57.8189989700,78.6702645600,2.8911797710
33.91,14,PatientTissueFromHU650,1.4258500,57.2698489400,81.6582141200,2.7869306980
33.91,15,PatientTissueFromHU750,1.4919000,56.7362444500,84.6448030900,2.6900483920
33.91,16,PatientTissueFromHU850,1.5592200,56.1982574300,87.6254469400,2.5999900180
33.91,17,PatientTissueFromHU950,1.6247800,55.7693757900,90.6129664000,2.5154162650
33.91,18,PatientTissueFromHU1050,1.6890400,55.4181203600,93.6034220000,2.4360467080
33.91,19,PatientTissueFromHU1150,1.7563600,54.9913124300,96.5845415000,2.3619587420
33.91,20,PatientTissueFromHU1250,1.8216000,54.6613334300,99.5710849800,2.2919859050
33.91,21,PatientTissueFromHU1350,1.8875600,54.3324199300,102.5557026000,2.2261354040
33.91,22,PatientTissueFromHU1450,1.9542400,54.0045543100,105.5378602000,2.1640647590
